stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,94.02,1191.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0,0
  5-6,77.88,1679.94,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.65,16.8,0,0,13.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,83.44,16.04,0,19.08,0,0,59.65,0,0,0,74.68,0,0,0,0,0,0,0,0,0,0,0,412.05,87.25,0,0,219.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.76,0,101.65,0,5.34,113.05,0,0,0,17.95,0,0,0,0,0,0,0,0,0,0,0,667.25,53.64,0,0,257.71,3.81,4.37,0,31.52,11.66,0,0,0,0,0,0
 14-21,0,0,0,0,3.95,2.66,3.83,0,0,9.17,0.98,0,0,0,0,0,0,0,3.57,0,0,1.93,27.93,0,0,0.88,0,1.42,0,9.93,0.85,4.82,8.14,0,0,0,0,0
 24-34,0,0,0,0,0,0,3.69,0,0,2.75,0,0,0.61,0,0,1.01,0,0,5.44,0,0,0.72,46.28,0,0,3.05,0,0,0,0,0,1,7.61,0,0,3.08,0,0
 36-46,0,0,0,0,0,0,10.58,0,0,2.64,0,0,0,1.77,0,1.28,0,0,7.38,0,0,2.5,79.02,1.37,0,0.61,0,1.47,0,0,0,0,14.65,0,0,1.4,0,0
 48-58,0,0,0,0,0,0,11.72,0.82,0.56,3.4,0,0.5,0,0,0,0,0,2.87,4.65,0,0.48,0.91,63.54,0,0,0,0,3.48,0,0,0,0,5.8,0,0,0.46,0,12.87
 60-70,0,0,0,0,0.69,2.38,22.92,0,0,6.53,0,0,0,0,0,0,0,0,5.09,0,0,0.67,52.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.58,0,0,1,30.64,0.74,0.57,9.05,0,0,0,0,3.69,0.81,0,0,15.19,0,0,1.58,84.78,0,0,11.06,0,0,0,0,0,0,0.86,0,0.87,0.61,0,0
 84-94,0,0,1.05,0,0.6,0.93,10.04,0,3.19,7.38,0,0,0,0,0,0.66,0,0,7.46,0,0,0,61.64,0,0.95,5.9,0,2.55,0,0,0,0,8.09,0,0,0,3.7,0
 96-106,0,0,0,0,7.3,2.31,7.53,0,1.29,1.04,0,0,0,0,0,0.64,0,0,20.31,0,0,2.33,58.62,0,1.94,0,0,0.56,0,0,0,0,5.4,0,0,4.18,0,9.01
108-118,0,0,0,0,3.08,2.02,10.39,0.7,0,8.91,0,0,0,0,0,0,0.76,0,10.73,5.8,0,4.61,150.82,0.43,0,0,0,8.61,0,0,0,0,0,7.21,0,0,0,0
120,0,0,0,0,3.78,1.56,42.41,0,3.1,9.63,0,0,0,0,0,0,0,0,11.28,0,0,0,100.45,3.33,0,1.05,0,0,0,0,0,0,0,6.74,0,0,0,0
