stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,23.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.82,1.88,0,28.34,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,25.53,29.11,0,0,0,0,0,2.46,0.83,19.2,16.83,0.86,0,0,0,0
 24-34,0,0,0,0,7.31,1.13,0,250.52,8.66,0.6,0.62,0,0,0,0,0,0,0,0,101.59,0,0,93.77,160.25,28.57,0,0.64,0,1.47,0,0,19.66,35.09,14.72,0,0.78,0,0
 36-46,0,0,0,0,8.48,5.75,0,239.74,22.78,14.83,7.35,7.12,0,0,0,0,0,0,0,323.5,0,0,158.16,123.49,50.5,0,0,0,0,8.18,1.23,10.7,3.49,48.76,0,0,0,3.99
 48-58,0,0,0,0,12.66,0,0,395.64,23.45,7.61,23.87,45.72,0,0.55,0,0.48,0,0,0,507.07,0,14.76,210.1,310.28,56.39,0,2.14,0,0.97,0,1.3,5.21,0,47.09,0,2.56,0,7.36
 60-70,3.16,0,0.76,0,10.38,0,0,350.36,7.35,30.79,29.58,121.35,0,0.9,0,0.86,2.83,0,0,512.89,5.8,17.17,171.09,299.55,54.15,0,4.24,1.08,4.02,0,0,0,0,53.87,3.65,2,0.98,24.57
 72-82,0,0,0.69,0,42.22,1.71,0,291.2,10.46,12.1,29.7,210.35,0,1.72,0,0.66,3.52,0,3.3,647.25,0,26.37,178.75,257.12,21.3,0,20.39,6.86,1.76,0,0,0.53,0,21.76,16.78,4.98,4.16,19.27
 84-94,0.62,0,1.11,0,51.67,0.66,0,466.14,4.02,25.14,8.78,162.4,0,4.45,0,4.26,8.37,0,0,508.13,0.86,16.97,118,152.03,65.46,3.46,11.43,0,5.2,0,1.79,0,0,33.32,5.42,1.86,2.25,16.99
 96-106,0,0,0,0,114.09,0,1.72,424.05,8.71,11.12,6.32,264.59,0,4.35,1.82,9.8,4.31,1.07,0,448.34,0,9.84,94.87,163.92,28.03,1.42,24.06,5.41,14.66,0,1.71,2.52,0,28.33,10.69,1.84,5.35,9.36
108-118,0.5,0,0.41,0.74,177.19,6.61,0,437.72,8.85,20.84,6.4,179.85,1.07,9.9,0,45.6,7.44,0.85,0.43,570.52,0,9.17,109.07,231.19,20.68,0,28.2,1.83,2.15,0,0.83,0,0,20.57,0.47,1.23,3.99,14.97
120,0,0,0,0,123.64,0,0,246.3,1.12,18.55,3.46,216.05,0,14.44,1.18,3.44,5.93,0,0,442.86,0,57.93,119.82,262.22,47.2,0,24.17,0,1.39,0,0,1.52,0,10.59,0,0,6.57,39.2
