stage,endocrine.pancreas,epidermis,eye,glial,gut,heart,immune,liver,mesenchyme,mucous,neural,notochord,olfactory,periderm,pronephros,spinal.cord,vasculature
 14-21,0,1.03,0,0,0,0,0,0.86,0,0,14.68,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0
 48-58,0.46,0,0,0,0,0,0,0,0,5.19,0.46,0,0,0,0,0,0
 60-70,0,0,4.37,0,0,0,0,0,0,0,2.48,0,1.42,3.14,0,0,0
 72-82,0,0,2.97,0,0,0,0,0,0,0,11.44,0,0,0.58,0,1.14,0
 84-94,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,3.3,0,0,0,0.72,0,0,0,0,0,0,3.52,0,0,0
108-118,0,0,0.58,0,0,0,0,0,0.91,0,0,0.55,0,1.43,1.91,0,0
120,0,0,0,0,1.21,4.26,0,0,2.56,0,8.18,1.8,0,2.95,0,0,2.27
