stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,46.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.88,0,0,0,3.24,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,53.57,0,0,0,25.08,0,22.67,5.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.2,0,0,0,14.19,0,0,0,0,0,12.79,0,0,0,0,0,0,0,0,0,0,0,300.62,29.76,0,0,8.97,0,16.76,8.5,0,0,0,0,3.51,0,0,0,0,0
 14-21,0,0.82,8.24,167.23,9.46,0,62.84,0,0,0,4.21,3.68,0,2.74,0,2.57,3.68,0,0,71.74,36.58,0,0,19.63,105.07,62.97,5.01,17.87,0.83,0,105.87,0,18.78,1.79,5.74,21.82,107.56,0,0,5.85,0,185.41
 24-34,0,4.9,2.45,52.81,3.11,0,138.32,0,14.47,2.4,6.77,2.31,0,14.69,0.67,13.83,10.56,0,0.67,327.58,39.85,2.1,2.43,7.98,429.88,30.92,18.98,9.24,0,1.14,253.55,0,1.04,18.12,3.59,6.33,325.42,0,0,48.56,0,477.35
 36-46,0,0,0,33.41,1.32,0,70.06,1.43,16.04,1.47,13.39,0.72,5.41,10.7,0,10.47,33.65,0.79,0.78,316,14.87,26.6,1.59,11.25,476.9,14.88,29.92,4.96,0,0,379.39,0,0,3.48,7.27,0,302.72,0,0,22.84,0,419.01
 48-58,0,0.42,0,45.4,3.14,0,423.32,3.26,22.63,5.05,66.91,0,5.58,7.92,5.31,18.71,105.06,1.56,7.32,381.05,54.84,3.08,2.39,3.33,769.16,13.92,11.02,6.12,0,0.4,180.95,0.65,0,11.76,6.3,0,270.05,0,0,32.24,0,544.71
 60-70,0,0,0,48.58,0,0,1232.22,10.76,12.62,31.67,125.49,2.98,8.81,3.43,4.46,0.58,248.1,0.77,0,120.6,55.63,1.43,5.65,0.57,1003.11,0,22.8,16.28,0,0,189.93,0,0,8.06,11.41,0,207.94,0.61,0,57.72,0,350.22
 72-82,0,3.36,0,47.45,4.49,0,1668.34,4.24,9.27,6.33,156.88,2.36,1.11,1.64,16.55,5.23,160.35,6.73,5.98,170.13,61.99,0,3.51,21.02,1189.09,0.72,30.2,29.53,0,2.81,81.72,0,0,4.01,7.12,0,101.58,2.49,0.94,107.86,3.87,253.27
 84-94,0,3.18,0,123.15,8.87,0,1631.31,11.39,15.11,2.44,227.28,9.81,0,13.2,21.43,13.73,237.74,4.08,3.5,332.93,61.49,5.88,2.42,8.02,935.3,0,26.36,40.34,0,0,259.02,0,0,10.41,7.42,0,94.03,11.61,0.71,91.73,5.02,155.92
 96-106,0,4.05,0,93.96,46.03,7.05,1813.29,10.76,10.28,2.65,217.55,7.65,0,5.72,15.68,4.95,176.73,11.2,25.57,131.32,85.47,6.34,1.82,4.03,947.51,2.03,47.28,38.45,0,2.76,263.25,0,0,7.2,11.57,0,65.08,22.86,3.67,127.42,2.22,140.12
108-118,0,8.64,0.74,137.98,0,0,1705.41,3.48,15.98,8.23,253.94,16.29,0,0.51,24.72,15.02,416.55,7.28,2.01,256.91,60.98,11.82,4.77,15.97,815.76,1.73,30.89,64.21,0,7.29,178.95,0,0,5.87,13.11,0,74.92,37.19,1.69,90.15,6.16,83.1
120,0,2.59,0,154.38,12.57,1.37,1571.13,28.02,15.18,10.43,218.64,12.02,0,6.15,50.91,20.86,226.83,18.42,0,91.11,57.39,3.25,0,4.63,1565.1,3.39,73.69,59.09,0,9.36,155.54,0,0,10.18,0,0,89.12,16.24,0,127.56,10.35,77.5
