stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.91,0,13.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.79,0,1.01,0,0,0,0.97,0,0,0,0,0,0,0,2.41,0,0,194.34,0,1.37,0,0,0,6.82,1.06,0,0,1.67,95.87,0,0,0,0,0
 24-34,0,0,0,3.63,0,26.68,0,0.64,0,8.89,0,0,0,0,0,0,0,3.58,0,2.58,527.37,0,9.17,0,0,0,16.64,0,0.7,0,0,132.98,0,0,2.82,0,0
 36-46,0,1.4,0,1.53,0,34.72,1.33,0,0,16.02,0,1.25,0,0,0,0,0,14.57,0,3.26,1182.34,0,10.45,0,0,0,7.48,0,2,0,0,169.82,0,0,0.91,0,0
 48-58,0,0,0,16.91,0,105.7,0.58,0.78,0,50.02,0,0,0,0.52,0,0,0,5.64,0.58,0.63,1639.65,0,5.04,6.73,0,0,5.15,0,0,0,0,280.8,0,0,0.54,0,0.91
 60-70,0,0,0,0,0,370.73,0,0,2.54,66.1,0,0,6.49,0,0,0.77,5.95,25.13,0,1.84,1846.36,5.04,14.04,0,0,1.13,5.54,0,0,0,0,220.56,2.18,0,2.1,0,0
 72-82,0,0.61,0,8.47,0,261.06,1.07,0.55,0,52.78,2.17,0,0,0,1.66,1.05,0,20.11,0,1.99,1420.77,0,9.25,0.49,1.13,0,1.44,0,0,3.7,0,136.65,0,0,1.27,1.53,0
 84-94,0,0,0,4.57,0.81,241.85,0,5.65,1.43,41.51,6.31,0.85,0,0,0,0,0,21.71,2.48,1.75,1129.34,0,0.56,1.49,0,0,8.67,0,0,0.57,0,117.79,0.61,0,0,2.73,3.06
 96-106,0,0,0,8.09,1.81,183.14,0,0,2.63,33.3,0,0,8.42,0,0.66,0,1.38,16.12,0,0,860.02,0.58,1.63,2.08,0,0,3.17,0,0,0,0,39.83,6.89,1.58,0,2.83,10.15
108-118,0,1.75,0,13.37,0.85,179.4,2.32,0.48,0.53,30.83,0.49,0,3.47,0.89,0,0.61,0,15.44,0,3.26,1028.24,0,6.01,0.66,0,0,2.88,0,0.43,0,0,25.2,2.43,0,1.52,0,6.78
120,0,0,0,24.02,2.32,220.95,0,2.7,0,54.6,0,0,0,0,2.23,0,4.47,3.11,0,3.47,1476.92,0,0,0,0,8.63,0,0,0,0,0,76.4,8.46,0,0,0,0
