stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,8.66,2.11,0,0,0,0,0,0,0,0,0,0,2.95,4.81,0,0,16.03,5.94,3.3,0,0,0,4.12,7.8,7.46,21.7,0,0,0
 24-34,17.45,0,0,0,5.54,0,0,0,1.17,0,0,0,1.54,3.91,0,0,6.06,8.97,0,1.88,0,0,0,0,0,9.67,0,2.67,0
 36-46,6.62,0,1.44,0,3.97,1.21,1.98,0,0,0,0,0,2.42,2.21,0,0,5.05,8.57,0,0,0,0,0,0,0,4.17,0,1.28,0
 48-58,19.25,0,3.4,0,2.49,0.9,1.54,0,0,0,0,0,0,7.2,0,0,0,24.36,0,0,0.55,0,0,0,0,8.47,0.37,7.67,0
 60-70,10.2,0,16.46,0,3.45,0,0,3.47,0,0,0,0,0,6.07,0,3.87,0.74,5.92,0,0,0,0,0,0,0,0,0,4.09,0
 72-82,8.42,0,53.34,0,0.51,0,2.08,0.63,1.24,0,0.56,0,4.07,8.25,0,0,1.05,15.85,0,0,1.21,5.71,1.76,0,0,0.66,0,1.9,3.07
 84-94,11.92,0,16.61,0,3.34,0,2.01,6.06,1.81,0,0,0,5.68,11.34,0.57,6.35,2.23,25.16,0,0.95,1.48,0,0.56,0,0,1.7,0,2.9,4.08
 96-106,12.43,2.01,3.05,0.71,3.17,0,0,0,0,1.32,0,0.75,1.73,23.36,0,0,5.12,19.68,0,0,0,2.27,1.81,0,0,1.78,0.69,5.37,5.15
108-118,9.13,0,13.2,0.76,2.63,7.07,1.48,2.83,1.37,6.57,0,5.61,2.92,18.6,0,2.89,0,11.45,0.43,0,0,8.75,3.49,0,0,0,0,1.25,1.51
120,7.3,0,2.59,0,0,0,1.62,0,0,0,0,0,0,3.48,1.16,0,0,41.04,0,0,0,0,0,0,0,6.42,0,1.14,4.47
