stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.42,36.95,1.87,0,8.84,0,1.97,0,1.31,1.08,1.02,0.82,0,2.17,0,0,0,1.01,21.91,0,0,8.75,166.92,2.89,2.02,1.98,9.02,0,7.05,0,16.64,0.89,16.78,42.08,0,0,3.15,0,9.35
 24-34,0,0,0,5.62,0,0,14.6,0,0,2.45,3.33,1.84,0,0.67,0,1.61,0.64,1.64,0.67,2.37,35.77,0.95,0,8.15,289.14,0.77,8.07,10.45,0,0,17.71,0,0,2.43,2.35,46.36,0,0,10.21,0,1.63
 36-46,0,0,0,2.62,0,0,21.23,0,0,0,8.48,0.67,0,0,0.79,0,0,1.96,0.57,0,25.95,0.78,0,2.3,269.65,0,6.16,0.74,0,0,27.13,0,0,1.03,0,59.31,0,0,7.01,0,0.67
 48-58,0,0,0,2.6,0,0,57.78,0,1.13,1.69,20.43,0,0,0.78,0.5,0,0.56,0,0,0,34.51,0.8,0,4.21,341.71,0.41,5.06,1.18,0,0.61,2.37,0,0,0,0,60.12,0,0,0.43,0,0.56
 60-70,0,0,0,8.47,0,0,62.73,4.75,0,0,13.16,0,0,0,0,0,2.8,0,1.06,0.72,18.46,0,0,1.65,206.54,0,0,0,0,0,6.42,0,0,0,0,34.47,0,0,0,0,0
 72-82,0,1.65,0,4.51,0,0,115.22,0,0,2.29,31.16,0.54,0,0,0,0.66,0,0,0,0,43.28,0,1.77,5.06,175.66,0.58,2.22,2.47,0,0,14.19,0,0,1.46,0,33.39,0,0.9,9.92,5.6,0
 84-94,0,3.91,0,15.88,2.98,1.09,151.54,0,1.2,0.69,25.35,1.53,1.3,0,1.32,2.19,0.75,1.91,0,0.99,47.67,2.05,4.37,7.76,256.5,2.16,3.52,4,0,0,15.43,0,0,0,0,53.26,0,5.27,1.2,0.68,3.65
 96-106,0,1.73,0,12.09,6.26,0.59,179.06,0,3.14,0.82,50.2,0.6,0,2.25,2.69,0,1.38,2.21,9.08,0,34.28,3.05,1.11,3.9,257.33,0,8.02,9.35,0,0,22.17,1.35,0,0,0,16.67,0.88,8.72,6.11,2.62,7.24
108-118,0,0.52,0,26.44,5.06,6.94,147.65,0.55,6.59,2.87,71.31,0.75,0,0,1.53,1.06,3.46,4.34,6.4,0,74.13,3.08,0.66,15.16,331.06,1.22,5.51,7.41,0,3.37,11.1,0,0,0,0,23.73,0.63,4.24,3.7,4.41,12.47
120,1.12,0,0,20.02,0,0,81.28,0,2.16,0,50.32,7.7,0,0,0,0,2.12,3.59,0,1.51,92.79,0,12.92,9.15,363.49,5.19,1.32,13,0,0,32.55,0,0,1.83,0,0,1.27,0,9.76,15.15,3.14
