stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pgc,spinal.cord,vascular.smooth.muscle
  3-4,20.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,28.89,0,6.24,0,0,0
 10-12,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0,5.47,0,0
 14-21,0,0.85,0,0,0,0,0,0,0,1.13,0.88,4.29,0,0,0,0.99,0
 24-34,0,0,0,0.62,0,0,0,0,0,0,0,14.19,0,0,0,3.52,0
 36-46,0,0,0,2.18,0,0,0,0.65,0,0,0,21.78,0,0,0,2.24,0
 48-58,0,0,0,0.87,0,0.62,0,0,0,1.72,0,1,0,0,0,1.52,0
 60-70,0,0,0,10.62,0,2.57,0,0,0,0,0,9.75,0,0,0,0,0
 72-82,0,0,9.52,2.78,0,0,0,0,0.88,2.01,1.17,3.48,0,0,0,0.7,0.87
 84-94,0,0,6.78,0,0.57,4.26,0,0,0,0,0,5.06,1.4,0,0,1.28,0
 96-106,0,0,0,1.75,0,1.82,0,0,0,0,0,3.92,0,0,0,0,0
108-118,0,2.53,4.29,1.02,0,0,4.82,0,0,0.97,0,0.93,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,32.76,0,0,0,0,0
