stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,xanthophores
  3-4,99.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0,0,0,0
  5-6,134.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.03,0,0,0,0,0,0,78.75,0,0,32.63,0,0,0,0,0,0,0,0
 10-12,0,0,7.34,0,0,6.3,0,0,0,0,0,0,82,0,0,34.34,4.05,10.89,0,7.07,0,0,0,0
 14-21,0,0,0.91,1.13,0,0,0,0,0,0,0,2.21,8.87,0,0,0,0,0,1.36,0,11.55,4.36,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.66,1.76,9.22,1.45,0,0,0,0,0,0,0,0,4.45,0
 36-46,0,0,0,0,0,0.75,0,0,0,0,1.31,0,7.03,1.77,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,6.96,0,1.95,0,0,0,0.6,4.24,0.37,0.57,0,0,0,0,0,0,0,3.24,0
 60-70,0,0,0,0,0,11.94,0,1.26,0,0,1.19,0,9.19,0,0,0,0,0,0,0,0,0,2.42,0
 72-82,0,0,0,0,0,6.43,0,0,0,0,1.27,0,11.08,4.35,0,0,0.67,0,0,0,0,0,0,2.63
 84-94,0,1.55,0,0,0,4.19,0,0.95,0.8,0,0,0,5.3,0.89,0,0,0,0,0,0,0,0,1.76,0
 96-106,0,0,0,0,2.34,0,0.9,0,0,0,2.73,0,6.36,0.6,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.57,0.46,0,0,0,0,1.26,1.44,0,3.85,2.32,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,16.42,0,0,0,3.32,0,0,0,0,0,0,0
