stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,xanthophores
  3-4,9.78,280.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0,0,0
  5-6,0,396.43,0,0,0,0,0,0,0,0,0,0,0,0,42.11,8.7,0,0,0,37.28,0,0,0,0,0,0
  7-9,14.71,15.41,0,0,33.01,0,0,0,19.77,0,0,0,0,0,174.71,18.27,0,0,254.45,0,0,0,0,0,0,0
 10-12,0,5.21,16.59,0,7.55,0,0,0,0,0,0,0,0,0,70.85,0,0,0,301.15,0,4.19,0,0,8.37,0,0
 14-21,0,0,0,1.47,0,0,0,0,1.58,0,0,0,0,0,6.14,0,0,0,0.9,0,19.79,0,7.92,10.84,0,0
 24-34,0,0,0,0.65,1.89,0,0,0,0,0,0,2.74,0,0,14.06,0,0.6,0,0,0,0,0,1.56,9.31,1.48,0
 36-46,0,0,0,0.62,0.65,3.99,0,0,0,0,0.65,4.42,0,0.95,5.82,0,0,0,0,0,0,0,0,0.69,0,0
 48-58,0,0,0,0,3.98,1.7,0,0,0,0.55,0,0.61,0,0.42,1.41,0,0,0.44,0,0,0,0,0,0,0.48,0
 60-70,0,0,0,0,10.11,0,3.8,0,0,0,0,6.24,0,0.67,13.56,0,0,0,0,0,1.38,0,3.89,0,0.93,0
 72-82,0,0,0,0,2.32,0.49,0,0.59,0,0,0,3.57,0,1.89,6,0,0,0,0,0,0,0,0,0,1.17,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,0,0,0,1.09,0.66,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0
108-118,0,0,0,0,0,0,0,0,0,0,0,1.2,0.76,1.11,4.34,0,0,0,0,0,0,0,0,0,0,3.28
120,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,1.08,0,0,0,0,0,0,0,0,0,0,0
