stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.79,183.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.49,218.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.62,4.74,0,0,14.75,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,107.77,14.68,0,0,59.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.21,0,0,5.22,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,140.81,0,0,0,49.28,0,0,12.86,0,7.22,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,6.28,0,5.98,0,0,1.32,0,0,0,0.81,0,0,0,0,4.7,0,0,4.45,42.38,1.82,0,0,0,0,0,0,6.13,0,5.6,3.95,13.44,0,0,0.98,0,0
 24-34,0,0,0,4.84,0,8.85,0.62,0,5.12,0,0,0.8,8.62,0.62,0,0.6,0,8.41,0,0,2.58,145.84,0,0,0,0,0,4.97,0,0,0,0,1.73,42.19,0,0,2.38,0,0
 36-46,0,0,0,0,0,13.28,0,1.23,7.42,0,0,0,15.43,0,0,0,3.75,13.67,0,0,2.56,108.8,0.89,8.21,0,0,0,3.28,0,0,0,0,0,16.79,0,0,0.71,0,1.29
 48-58,0,0,0,0.73,0,19.54,0,0.71,5.5,0,0,0.87,36.83,0,0,0.56,0,14.58,0,14.66,5.24,71.84,0,0,1.05,0,0,4.71,0,0,0,0,0,15.07,0,0,0,0,0
 60-70,0,0,0,0,0,27.25,0,2.32,14.76,0,0,0,37.16,0,0,0,2.79,15.71,0,8.02,5.38,37.56,0.98,0.72,0,0,0,3.5,0,0,0,0,0,16.39,0,0,0,0,0
 72-82,0,0,0,0,3.26,7.58,0,2.42,9.04,2.17,0,0,45.81,0.57,0,0.89,0,20.04,0,0,2.37,26.24,0,0,1.68,0,1.05,0,0,0,0,0,0,4.25,0,1.74,6.3,0.71,0
 84-94,0,0,0,3.42,0.71,35.24,0,0,17.21,0,0,0,64.71,0.76,0.65,0,0,39.07,0,1.31,2.52,27.22,0,0,0,0,0,3.03,0,0,0,0,0,5.33,0.81,0,3.22,2.15,0.77
 96-106,0,0,0,1.29,10.97,14.03,0,1.02,9.7,2.73,0,4.11,81.07,0,1.89,0,0,41.84,0,0,2.12,20.99,0,0,0.73,0,0,4.77,0,0,0,0,0,0,0.71,4.94,1.84,0,0.86
108-118,0,0,0,2.31,0,5.14,0.66,1.56,17.04,0.8,0,0,81,0,1.91,0,0,50.31,0.52,0,6.58,49.54,0.44,0,0.53,0,0,0.9,0,0,0,0,0,1.4,0,0,1,0,3.67
120,0,0,0,5.57,2.48,32.91,0,0,22.47,0,0,0,60.44,0,0,0,0,22.99,0,0,3.42,18.5,0,0,13.55,0,0,0,0,0,0,0,0,6.99,0,14.31,4.51,0,0
