stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,0,13.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83,0,0,8,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.76,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,0.91,0,0,0,0,0,0,11.44,0,0,0,0,7.02,0.81,0,0,0,1.01,0,0,1.87,3.16,0,0
 24-34,0,0,0,0,0.62,0,0,0.76,0,2.56,78.81,0,3.89,0,0,9.05,0,0,0,0,0,0,0,0,0.63,0,0
 36-46,0,0,0,0,0.78,0,0,0,0,0,127.14,0.68,7.2,0.74,1.76,6.15,0,0,0,0,0,0,1.91,0,0.61,0.65,0
 48-58,0,0,0,0,8.2,0,0,2.09,0,0,107.91,0,1.13,0,1.3,16.61,0,0,0,0,0,0,0,0,0.56,0.43,0
 60-70,0,0,3.27,0,6.41,0,0,1.11,0,0,156.47,0,6.88,0,0,8.93,0,0,0,0,0,1.95,0,0,3.57,0,0
 72-82,0,0,0,0,3.6,1.4,0,0,0.91,0,59.09,0,6.35,1.81,0,23.95,0,0.71,0,0,0,0,0,0,2.04,0,0
 84-94,0,0,0,0,0.81,0,0,2.14,0,0,58.48,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0
 96-106,0,0,0.59,0,2.34,0,6.52,0,0,0,82.09,1.3,1.24,0,0,14.91,0,0,0,2.84,0,0,0,0,0,0,2.51
108-118,0,0,0,0,6.79,0,0,0,0.84,0,91.98,0,3.49,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,9.72,0,0,301.05,0,10.46,0,0,16.41,0,0,0,2.2,0,0,0,0,0,0,17.64
