stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,170.39,3065.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.09,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.26,947.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.77,26.01,0,0,7.71,0,9.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.46,5,16.7,0,0,36.93,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,181.69,3.28,0,0,66.28,0,0,16.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.65,45.4,0,15.53,16.69,0,0,0,0,0,20.23,0,0,0,0,0,0,0,0,0,0,0,476.27,35.9,0,0,141.99,0,8.71,9.99,4.43,20.61,0,0,0,0,0,0,0,0
 14-21,0,0,7.65,55.73,19.35,17.66,0,1.75,0,6.98,6.18,0.81,0,0,0.91,0,0.93,0,0,35.78,0,0,20.55,254.15,50.53,2.32,2.28,4.8,0,2.96,0,37.62,5,0,28.32,110.92,0,0,12.93,0,0.85
 24-34,0,0,0.62,21.19,4.1,29.41,0,3.95,1.71,8.98,0.68,0,0.69,3.1,0,0,2.76,5.29,0.62,46.42,0,0,28.41,350.56,12.72,1.37,4.46,0,0,20.82,0,0,4.24,0,5,90.81,0,0,21.25,0,0
 36-46,0,0,0,3.59,1.3,30.12,0,1.17,3.87,12.09,0,2.02,0.68,0,0,0,3.95,0,0,71.27,0,0,11.7,179.92,9.62,0.84,4.89,0,0,15.22,0.65,0,2.11,3,1.18,55.47,0,1.23,10.1,0,1.62
 48-58,0,0,0,7.26,1.54,49.43,0,1.21,2.84,30.6,0.46,0,2.24,0,0,0.89,4.01,2.56,5.07,76.89,1.71,2.41,10,86.68,1.5,0.79,7.74,0,0,5.97,0,0,0.53,0.46,0,41.44,0,0.89,14.01,0,0
 60-70,0,0,0,13.16,4.23,20.79,0,3.38,5.96,46.43,1.25,0,1.71,0,0.64,2.09,5.02,0,0,121.88,4.98,7.35,10.78,45.79,1.26,0,9.67,0,0,35.11,0,0,0.93,1.34,0,20.69,0.61,1.58,14.51,0.81,3.49
 72-82,0,0,0,3.62,3.18,28.93,0.5,7.86,2.9,64.84,3.51,1.48,8.15,4.38,0.53,0,2.93,0,10,158.09,0,1.89,13.25,67.99,1.13,0,17.72,0,0.87,9.86,0,0,0,0,0,19.74,2.82,3.09,27.09,2.62,0
 84-94,0,0,0,14.1,1.87,26.58,0.91,5.84,4.85,38.98,1.87,0,1.66,1.94,1.86,1.22,12.65,0,0,121.02,0.57,4.66,8.26,50.56,3.65,1,34.61,0,1.68,58.95,0,0,1.26,0.69,0,6.42,0.62,3,13.07,1.36,0
 96-106,0,0,0,8.71,10.84,39.72,0.71,5.53,1.83,56.65,8.11,0,2.49,0.72,0,0,16,1.12,0,105.49,2.91,7.44,9.33,49.07,1.38,0.89,39.78,0,1.91,43.2,0,0,0,0,0,17.61,0,1.83,20.38,0.83,0.58
108-118,0,0,0,24.34,8.24,28.94,1.79,1.81,6.32,69.05,4.9,0,0,1.09,1,12.05,14.25,2.83,0,111.73,3.42,3.72,11.21,71.64,4.65,5.44,35.72,0,5.98,20.52,0,0,0.97,0.44,0,5.23,8.12,1.07,24.62,3.23,3.5
120,0,0,0,25.75,8.3,29.8,5.8,7.34,17.12,65.46,1.88,0,3.65,3.89,2.56,1.59,7.94,0,0,70.92,4.48,0,2.52,121.04,6.76,0,35.25,0,1.79,50.91,0,0,0,0,0,2.04,0,3.47,15.49,9.58,0
