stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6.02,4.02,0,0,0,1.79,0,0,1.85,1.07,0,0,0,0,0,0,3.72,0,0,0,34.65,1.17,0,0,0.83,0,0,3.69,0,3.64,17.45,0,0,6.65,0,0
 24-34,0,2.53,0.9,0,4.46,0,3.58,5.22,0,0,4.16,0,0,0.85,0,2.41,0,45.96,0,0,16.57,297.56,15.13,14.13,2.91,0,2.91,4.12,0,0,2.5,63.22,0,0,53.96,0,0
 36-46,0,1.95,0.67,0,19.3,0,0,9.12,0.96,0.72,8.5,0,0,0,0,0,8.38,62.88,0,0,34.52,954.15,17.85,5.78,0.63,0,0,12.33,0,0.62,0,192.95,0,0,56.52,0.78,0
 48-58,0,5.77,0,0,59.91,0,2.33,18.64,12.67,0,4.32,0,0,0,0,0,2.51,100.57,2.73,4.11,25.31,1070.9,0.41,7.48,2.23,0,0,6.42,0,0,0,279.55,0,0,24.35,0,0
 60-70,0,6.1,0,0,157.78,0,9.26,11.65,30.03,0,1.52,6.09,0,1.44,1.45,0,6.25,160.1,0,2.95,24.55,1279.72,9.97,2.26,6,0,3.28,0,0,4.15,0,334.17,0,8.81,14.03,2.76,11.22
 72-82,1.15,5.31,5.73,0,191.94,1.43,9.71,7.09,22.93,0.49,12.64,0,0,7.21,3.01,0,0,292.78,0,18.23,14.03,1164.62,0,9.72,3.59,0,7.9,4.58,0,0,0,223.89,0,10.65,85.75,10.05,10.61
 84-94,0,8.35,4.05,0,186.56,0,3.82,2.66,22.82,0.57,3.85,0,0.91,1.19,0.64,0,2.28,295.7,0,8.6,17.36,967.09,6.32,6.11,5.67,0,0,3.86,0,0,0,185.21,0,10.05,76.01,17.08,0
 96-106,0,14.93,9.17,0,183.84,0,1.86,22.28,29.61,1.38,10.19,0.66,0,0.85,5.02,9.82,0,235.54,0,16.46,7.63,703.45,0,6.35,6.09,0,16.27,7.69,0,0,0,69.18,2.03,15.17,72.65,10.41,12.15
108-118,0.84,7.3,6.32,4.75,209.51,0.42,1.93,19.95,32.28,2.73,2.83,0,0.49,9.62,0.45,3.99,7.22,218.32,6.81,7.17,9.98,1129.38,1.34,10.39,12.77,0,32.7,5.93,0,0,0,71.68,0.68,12.02,67.43,28.74,1.58
120,0,27.17,1.68,0,351.18,0,13.29,7.5,36.38,0,15.13,0,0,0,3.67,0,7.9,319.79,0,28.93,3.22,1432.69,11.38,3.82,1.05,0,15.95,1.04,0,0,0,92.78,0,18.04,61.31,47.81,0
