stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,0,0,0,9.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,20.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.88,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.56,94.07,2,0,0,0,0,0,66.59,0,0,0,0,0,0,6.86,0,0,5.94,21.28,0,0,1.04,1.21,0,0,1.06,76.03,3.27,3.17,0,0,0,0,0
 24-34,0,0,0,3.19,2.55,0,0,0,0,0,0,42.44,0,0,1.41,0,0,7.68,17.43,0,0,0.61,59.19,0,0,0,0,0,2.27,0,61.42,2.28,11.19,0,0,0,0,0
 36-46,0,0,0,1.08,1.2,0,0,5.71,0,0,1.59,14.83,0,0,0,0,0,0,79.79,0,0,0,76.57,0.85,0,0,0,0,0,0,52.69,0,13.94,0,0,1.16,0,0
 48-58,0.77,0,0,0,0,1,0,226.92,1.1,0,5.52,1.59,0,0,0,0,0,3.7,181.41,0,0,0.38,132.16,0,0,0,0,0.59,0,0,31.52,0,26.73,0,0,0,0,0
 60-70,0,0,0,0,5.61,0,0,641.08,1.83,2,8.3,13.92,0,0,0,0,0,3.22,262.25,1.1,2.3,0,119.08,0,0,0,0,0,0,0,18.09,0,21.05,0,0,0,0,3.83
 72-82,0,0,5.48,0,4.11,0.88,0.59,581.77,3.67,0,9.34,37.37,0,1.58,0,0,0.66,0,472.29,0,0,0,214.45,0,0,0.69,0,0,3.22,0,31.46,0,10.27,0,2.75,0,0.76,0
 84-94,0,0,15.1,0,11.48,1.22,0,476,0,1.88,14.83,77.13,0.78,1.39,2.4,0.7,0,17.43,317.64,0,4.09,0,221.24,0,0,4.61,0,0,0.66,0,43.81,0,17.69,2,2.08,1.49,0,0
 96-106,0,0,12.8,0,12.58,3.04,1.1,272.29,0.57,0.64,7.84,75.32,0,0,0.78,0,0,5.99,416.24,0,0,0,153.74,0,0.96,2.24,0,0,3.95,0,48.95,0,19.78,0,1.21,2.41,4.24,19.1
108-118,0,0,4.88,0,13.99,1.8,1.82,271.04,0.48,0,3.91,114.69,0,0,1.57,1.3,0,0.43,351.34,1.22,1.21,0,163.11,0,0,5.98,0,0,2.74,0,44.65,0,0,0.54,0,0,0.72,1.9
120,0,0,0,0,7.37,0,0,351.64,0,0,15.51,89.14,0,0,0,0,2.64,0,444.6,0,0,0,185.16,0,0,3.63,0,0,2.37,0,29.72,0,3.5,0,0,0,0,0
