stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,16.72,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,64.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.27,0,0,0,14.98,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.31,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,106.85,0,0,0,6.5,0,0,0,0,0,0,0,0
 14-21,0,0,3.51,32.38,4.11,0,7.35,0,0,0,0,0.81,0.87,0,0,0,0,0,0,4.1,0,0,2.16,33.87,0,0,2.6,0,0,1.27,1.01,1.21,14.3,0,0,0
 24-34,0,0,1.79,2.18,0,0,1.29,0,0,0.7,0,0.71,0,0,0.65,0,0,0,0,0.59,0,0,1.93,16.37,0.63,0,0.63,0,12.06,0,0.64,0,3.92,0,0.87,0
 36-46,0,0,0,0,0,0,0,1.41,3,0,0,0.58,0,0,0,0,0,1.09,0.66,0.59,0,0,0,11.5,2.79,0,0,0,8.74,0,0.58,0,5.49,0,2.43,0
 48-58,0,0,0,2.19,0,0,1.07,0,0,0,0.59,0,0,0,0,0,0,0,2.18,2.27,2.21,0,0,3.48,0,0,1.81,0,4.45,0,0,0,0.38,0,0,0
 60-70,0,0,0,12.03,0,0,10.73,0,0,0,3.99,0,0,0,0,0,0,0,0,2.94,0,0,0,16.38,5.06,0,2.65,0,3.38,0,0,0,1.29,0,0,0
 72-82,0,0,0,8.33,4.28,0,3.7,0,0.5,0,6.05,1.19,0,0,0,0,0,2.09,0,5.63,0,0,0,2.93,0,0,2.07,0,0.49,0,0.64,0,0,0,0.5,0
 84-94,0,0,0,4.5,1.36,3.45,3.81,0,1.2,0,0.58,0,0,2.61,0,0.73,0,0,0,3.84,0,0,0,5.29,0,0,1.94,0,4.69,0,0.8,0,0,0.71,0.57,0
 96-106,0,0,0,2.1,1.89,0,1.2,0,0,0.81,7.74,0,0,0,0.58,0,0,1.46,0.81,1.08,0.71,0,1.41,10.01,0,0,1.54,0,0.68,0,1.05,0,0,0,0,0
108-118,0,0,0,8.05,0,2.17,7.27,0,1.84,0,5.88,0.61,0,0,0,0.55,0.48,0.51,1.4,8.44,0,0,0.7,13.62,0,0.7,1.64,0,1.8,0,0,0,0,0,0,0.51
120,0,0,0,16.66,0,0,4.43,0,6.21,0,7.37,3.06,0,0,0,0,0,0,0,9.37,0,2.08,0,30.09,0,0,2.87,0,6.69,0,0,0,0,0,0,0
