stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,14.53,235.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,150.71,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.21,0,8.16,0,0,0,0,0,0,0,10.66,0,0,0,49.76,0,6.03,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,14.62,0,0,0,0,0,0
 14-21,0,0,0,0.92,0,1.09,0,0,0,0,1,0,1.44,0.95,12.13,0,0,0.85,4.37,2.85,0,0
 24-34,0,0,0,0,0,0.67,0,0,0,0,0,0,0.59,0,5.73,0,0,0,0,1.92,0,0
 36-46,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,1.15,0,0
 48-58,0,0,0,0,0.56,0,0,0.57,0.64,0,0,0,0,0.5,1.52,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.45,0,0,1.15,0,0,0,0.81,0,0.82,0,0,0,0,0,1.77,0
 72-82,0,0,0,0,0,0.79,0,0,1.4,0,0,0,0,0,0.89,0,0,0,0,0,0,3.38
 84-94,0,0,0,2.08,0,2.73,0.56,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.7,0.62,0,0,2.15,0,0,1.96,0.89,1.48,0,0,0,0,0,0,0
108-118,0,0,0,0.51,0,0,0,0,0,0,0,1.59,3.46,0,1.21,0,0,0,0,0,0,0
120,0,0,0,1.41,0,0,0,0,0,0,0,0,2.25,0,1.61,0,0,0,0,0,0,0
