stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,56.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.8,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,49.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,0,0,469.59,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,26.02,0,0,0,27.88,0,94.91,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.18,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,68.88,7.04,0,0,144.11,0,77.16,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.3,15.63,1.45,0,0,0.82,0,0,3.13,0,0.89,0,0,0,0,0,0,0,5.6,0,3.53,14.4,12.91,0,0.83,17.01,0,1495.28,5.66,0.9,1.22,2.49,8.76,0,0,0,0,0
 24-34,0,0,0,0,11.72,0.68,0,3.1,2.05,1.21,0,0,0,0,1.55,1.69,0,1.51,0,0,3.68,0,0,0,44.17,7.4,3.32,0.74,0,0,373.4,0,0.69,0,0,10.93,0,0,0,0,0
 36-46,0,0,0,0,72.53,0,0,0,7.85,0,0,0.82,0,0,3.82,0,0,2.16,0,0,1.92,0,0,0.89,33.87,9.86,9.61,0,0,0,391.1,0,0,0,0,6.21,0,0,0,0,0
 48-58,0,0,0,0,27.44,0,0,8.79,3.5,0.56,1.81,0,0,0,8.1,0,0,0,0,0,2.46,0,0,2.29,32.97,0.93,3.2,0,0,0,387.52,0,0,0,0,10.04,0,0,0.79,0,0
 60-70,0,0,0,0,50.07,0,0,19.2,11.24,0,0.82,1.01,0,0,30.1,1.4,0,1.54,0,0,1.31,3.25,16.58,0,19.77,0,2.24,0,0,0,268.51,0,0,0,0,4.26,0,0,0,2.64,0
 72-82,0,0,1.14,0,59.27,0.66,0,13.31,4.09,0,13.08,1.91,0,0,23.93,0,0,0.65,1.68,3.31,5.21,2.47,0.97,0,30.32,2.83,0.49,5.48,0,0,322.45,0,0.68,0,0,3.99,7.25,0,0,21.18,0
 84-94,0,0,1.05,0,139.91,0,0,12.25,24.5,0,7.96,2.24,0,0,15.05,20.22,0,10.86,0,0,12.45,6.86,5.84,0,22.65,2.96,4.95,0,0,0,1020.11,0,0,0.73,0,0.87,5.68,0,0,19.22,0
 96-106,0,0,1.53,0,272.29,8.14,0,35.19,65.49,0.84,28.49,20.07,0,0,55.05,39.83,3.12,16.07,16.15,0,23.45,34.3,10.37,0,110.25,5.03,15.94,3.88,0,4.62,2082.04,0,1.74,0,0,1.87,4.89,5.17,2.17,92.01,0
108-118,0,0,0,0,238.24,2.54,0.47,36.45,108.29,4.79,13.94,7.76,0,0,52.01,61.72,0,19.03,3.18,0,10.65,54.65,3.04,0.68,80.98,16.58,11.54,11.05,0,0,2466.05,0,0,0,0,1.23,10.81,0,1.81,117.01,9.51
120,0,0,0,0,137.89,4.34,0,32.09,53.49,0,30.94,2.92,0,0,76.14,17.11,0,10.28,0,0,4.21,20.19,0,1.86,80.39,11.4,0,1.05,0,0,1066.9,0,1.02,0,0,6.18,1.1,0,0,184.22,0
