stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,209.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.43,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.31,0,0,0,4.92,0,0,5.42,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,18.55,0,0,0,0,0,6.84,0,0,0,0,0,0,0,0
 14-21,0,0,2.75,0,7.05,0.84,0,0,0.87,0,0,0,0,0,19.71,0,0,0,0,1.34,1.14,0,0,5,0,0,0,0,0,0,0,2.53,1.44,0.82,0,0,0,0
 24-34,0,0,2.02,1.35,3.52,0,0,0,0,0,0.73,0,0,1.95,79.89,0,0.96,3.66,0,0,1.56,0,0,3.21,5.32,0,0,0,0,13.69,1.06,0,0.66,0.64,0,0,0,0
 36-46,0,0,0.98,0,1.48,0.58,0,0,2.04,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,1.75,0,3.96,0,0,0,21.59,0,0,0,1.31,0,0,0,0
 48-58,0,0,0,0,12.4,0,0,11.34,3.98,1.04,2.23,1.23,0,0,2.04,2.64,0.69,8.89,1.95,0.4,0.95,0,0.93,11.46,0,2.26,0.43,0,0,42.17,0,0,0,0.78,0,0,0,1.07
 60-70,0,0,0.7,0,23.59,0,0,53.68,10.17,1.17,1.46,0,0,9.6,3.65,0,0,3.74,0,0,0,0,0,10.09,0,0.96,0,0,0,48.35,0,0,0,0,0,0,0,0
 72-82,0,0,2.19,0,37.75,2.98,0,99.52,5.35,0.59,2.7,0,0.89,3.21,11.45,2.06,5.08,0,0,3.64,2.58,1.36,0.9,22.34,0,11.38,1.97,0,1.4,24.82,0,0,1.98,0,0,0,4.38,0
 84-94,0,0,1.58,0,45.46,2.16,0,100.52,19.87,1.01,13.31,1.57,0,5.32,32.87,0,1.61,1.33,0,1.64,0.6,0,0,4.8,0,1.22,3.88,0,0,109.04,0,0,5.46,0,1.17,0,0,0
 96-106,0,0,3.96,0,79.02,14.78,2.99,96.54,11.01,2.72,8.39,0,0.96,6.56,25.93,0,8.17,4.16,0.71,8.1,11.77,0.7,0,21.53,1.19,14.16,1.39,0,0,83.11,0,0,0,6.05,1.01,1.93,2.26,0
108-118,0,0,0,0,67.03,2.05,2.22,69.64,16.05,9.57,9.33,0,0,5.07,24.44,0,3.15,2.1,0,9.83,1.52,0,0,30.93,2.27,14.99,5.9,0,2.26,64.86,0,0,0.47,0.42,0,0,0,0
120,0,0,2.96,0,50.89,1.64,0,40.5,14.17,0,18.69,0,0,12.06,17.21,0,5.57,1.99,0,0,2.21,0,0,15.94,0,20.06,9.75,0,0,50.88,0,0,1.13,0,1.63,0,0,0
