stage,blastomeres,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,18.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0
 10-12,0,0,3.34,0,0,0,0,0,0,0,20.32,0,0,0,0,5.68,0,0,0
 14-21,0,0,1.72,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0.86,0.64,0
 36-46,0,0,0.88,0,0,0,0,0,0.97,0,1.61,0.66,3.71,0,0,0,0.59,0,0
 48-58,0,0,0,0,1.24,0,0,0,1.91,0,2.16,0,0.58,0,0,0,0,0,0
 60-70,0,0,2.6,0.77,1.05,0,0,0,1.5,0,0,1.13,0,0,0,0,0,0,0
 72-82,0,0,5.8,0,0,0,0,0.98,0.8,1.13,1.24,0,0,0,0,0.66,0,2.67,0
 84-94,0,0,26.44,0,2.07,0,0.56,9.25,6.02,0,1.93,0,0,0,0,1.34,0,0,0
 96-106,0,0,7.06,0,8.15,0,0,14.01,8.4,3.12,1.05,0,0,0,0.99,0,0,1.82,0
108-118,0,3.42,0.96,0,3.57,0,1.34,23.47,10.95,0.6,18.37,0.57,0,1.22,0,1.81,1.93,5.52,1.7
120,0,1.59,10.58,0,0,0,2.76,20.41,6.92,0,5.05,0,0,0,0,0,0,0,4.11
