stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,34.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,10.9,0,0,0,0,0
 14-21,0,0,0,0,21.43,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2.45,0,0,0,0,0,0,1.91,0,0,131.69,0
 24-34,0,0,1.05,0.78,25.01,2.58,0,0,0,0,0,29.54,0,4.01,0,4.42,0,0.61,57.72,0.61,0,0,0,0.82,0,0,1.02,0,1500.38,0
 36-46,0,0,0,0,18.5,0.61,0,0,0,0,0,20.1,0,0,0,0.76,0,1.65,56.8,0,0,0.71,0,1.77,0,0,4.18,0,1180.57,0
 48-58,0,0,0,0,7.42,10.05,0,0,0,1.12,0,22.07,0,0,1.87,2.53,0,0,51.74,0,0,0.61,0,0,0,0,1.3,0,1013.32,0
 60-70,0,0,0,0,5.79,14.83,0,0,0,8.23,0,23.59,5.43,0,0.71,1.15,0,4.27,42.95,0,0,0,0,0,1.72,0,4.16,0,713.23,0
 72-82,0,0,0,0,0.65,2.32,0,0,0,3.53,0,40.42,0.63,0,0,8.19,0,0,19.91,0,1.22,0.88,0,1.03,0,0,1.71,2.81,1192.08,0
 84-94,0,0,0,1.76,0,6.33,0,0,0,0.6,0.68,8.83,0,0,0,11.63,2.55,1.02,23.46,0,0,0.88,0,0,0,0,0,0,1185.23,0
 96-106,0,0,0,1.98,32.89,6.68,7.11,0.96,1.02,6.17,2.27,43.6,1.77,0,0,1.07,0,0,69.43,0,0,1.42,0,4,2.81,0,0,0,1673.22,4.22
108-118,4.13,0,0,1.47,5.15,14.94,0,1.14,0,0,0.86,19.66,4.19,4.22,0,9.21,0,1.12,29.81,0,0,0,0,0,5.66,0,0,0,1369.14,1.05
120,0,0,0,7.2,6.81,0,0,0,0,10.47,0,84.66,13.94,0,0,0,0,0,28.34,0,0,0,0,5.95,0,0,0,0,1672.57,0
