stage,axial,blastomeres,epidermis,eye,fast_muscle,glial,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature
  3-4,0,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.48,106.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,14.35,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.35,0,0,0,0,0,178.53,0,0,0,3.3,0,0,0,0
 14-21,0,0,12.11,0,0,0,0,0,9.29,144.57,0,3.02,5.83,17.76,1.05,0,1.11,1.06
 24-34,0,0,46.64,0,0,0,0,2.48,0,932.22,0.7,36.77,0,0.72,0,0,0,2.2
 36-46,0,0,0,0.71,0,0.77,0,1.85,0,1130.03,0,6.48,0,0,5.49,0,1.49,0
 48-58,0,0,0,1.27,0.76,0,0,2,1.74,414.15,0,0,0,0,0,7.05,0.94,0
 60-70,0,0,2.05,6.99,0,0,0,3.17,0,298.13,0,1.56,1.24,0,0,0,0,0
 72-82,0,0,2.29,4.25,0,0,0.76,4.54,0,162.62,0,0,2.31,0,0,0,0,0
 84-94,0,0,1.4,0,0,0,0,0.65,3.25,104.63,0,0,0.9,0,0,0,0,0
 96-106,0,0,3.94,17.57,0,0,1.36,3.26,0,119.79,0,0,1.34,0,0,0,34.64,0
108-118,0,0,6.67,0,0,0,1.82,0,1.78,97.56,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,9.22,424.2,0,0,10.58,0,0,0,0,0
