stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.32,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.92,0,0,0,0,0,0,0,0,0
  5-6,0,76.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,160.07,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,29.24,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6,0,0,0,3.97,85.32,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.35,0,0,0,0,34.2,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,5.68,11.32,0,0,0.82,0,0,2.52,0,0,0,0,0,0,4.46,0,1.73,17.48,0,0,0.86,0,204.83,1.65,0,1.16,1.87,0,0,0,0,0
 24-34,0,0,0,2.24,7.73,0,0,1.8,0.86,0,1.43,1.37,0,4.07,0,6.64,0,0,2.95,6.23,9.12,39.7,0,0,0,0,368.07,0,0,0,2.26,0,0,0,0,0
 36-46,0,0,0,1.7,1.79,0,0,2.94,3.8,0,2.34,0.56,0,1.39,0,8.97,0,1.26,0.58,10.32,0,155.98,0,0,1,0,507.72,0,0,0,4.34,0,0,1.74,0,1.45
 48-58,0,0,0,0,9.6,0.41,0,4.74,2.15,1.48,1.04,6.02,0.48,0,0,0.58,0,0,3.58,5.35,0.41,73.23,1.36,0,1.16,0,258.83,0,0,0,4.58,0,0,0,0,0
 60-70,0,0,0,0,18.01,0,0,1.49,4.37,0,1.19,9.31,1.71,0,0,1.91,0,3.3,0,9.8,0.91,49.18,0,0,3.85,0,336.08,0,0,0,1.39,1.42,0,0,0,0
 72-82,0,0,0.75,1.12,18.04,2.7,0,8.45,2.13,5.67,1.21,16.56,1.51,3.14,0.53,8.04,0,2.43,4.11,9.4,0,62.02,0,1.37,5.48,0,217.08,0,0,0,0,14.04,0.93,1.24,0,0
 84-94,0,0,0,0,54.18,1.93,0,14.5,17.49,0,0,47.51,0,0,0,16.41,0,3.46,1.27,15.33,0,32.13,0.76,3.37,11.64,0,740.86,0,0.63,0,0,25.16,0,0,0,0
 96-106,0,0,0,0.86,94.87,7.14,0,23.42,11.43,0,4.82,49.2,0,0,0.65,21.57,0,4.31,5.73,43.08,0,78.4,0,3.15,1.64,0,774.4,0,0,0,0,23.52,0,2.74,2.52,0
108-118,0,0,0,0.64,81.92,1.77,4.41,6.35,15.7,0,3.44,57.71,0,0,1.18,23.39,0.87,7.36,8.71,20.2,0.93,30.89,0,2.5,3.22,0,751.1,0,0,0,0,28.46,0,0.66,0,0
120,0,0,0,0,72.88,2.55,0,24.56,21.44,0,38.07,36.87,0,0,0,23.14,0,15.88,0,6.89,0,20.78,0,8.25,5.93,0,419.45,0,0,0,0,5.99,0,0,0,0
