stage,eye,hatching.gland,immune,iridophores,liver,neural,periderm
 24-34,0,0,2.63,0,0,0.6,0
 36-46,0,0,0,0,0,2.58,0
 48-58,0,0,6.5,0.92,0,3.21,1.38
 60-70,1.69,0,8.72,0,0,0,4.26
 72-82,4.37,0,4.28,0,0,5.93,0
 84-94,0,0.76,9.33,0,0,0,0
 96-106,0,0,7.79,0.71,0,0.96,0
108-118,0,0,11.31,3.93,8.12,1.3,0
120,0,0,14.47,0,0,18.02,1.39
