stage,endocrine.pancreas,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.71,0.74,2.74,0,0,0,0.65,0
 36-46,0,0,0,0,0,0,0.59,0,0,0,8.64,0,3.29,0,0,0
 48-58,0,0,2.99,0,0.65,0,0,0,1.17,0,6.98,0,2.79,0,0,0
 60-70,0,0,7.62,0,2.93,0,0,0,1.05,0,15.27,0,9.94,0,0,0
 72-82,0.93,0,12.21,0.8,6.83,0,0,1.37,5.13,0,22.68,0,5.25,0,0,0
 84-94,0,1.25,0,0,0.8,0,0,0.73,7.6,0,32.57,0.65,3.25,1.21,2.27,0.86
 96-106,0.81,0,13.38,0,9.33,0,0,0.56,0,0.96,24.33,0,1.98,0.66,0,0
108-118,0,0,0,0,18.66,0.78,0,2.35,8.13,0,2.2,0,0,1.16,0,0
120,7.01,0,11.4,0,6.01,0,0,0,0,0,28.16,0,0,0,0,0
