stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.87,0,0,0,8.35,0,0,0,0,0,2.91,0,0,0,0,0
 24-34,0.66,2.6,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0.94,0,0,0,92.86,0,6.63,0,0,1.71,57.12,0,0,0,0,9.03
 36-46,0.98,0,0,0,3.8,0,0,0,7.3,0,8.29,0,0,0,0.94,0,0,0,1.49,0,0,0,485.77,0,7.13,0,0,0.73,127.22,0,0,0,0,5.35
 48-58,0,1.02,2.03,0,70.87,0,1.13,0,46.05,0,0,0,0,0,0,0,0,8.8,18.99,0.8,0,0,1219.44,0,7.35,0,0,6.38,184.86,0,0,0,0,21.98
 60-70,0,10.75,0,0,271.24,0.83,1.77,10.37,55.73,1.23,0,0.9,3.85,0,0,0,0,5.72,39,0,9.54,5.97,2201.19,0,8.3,0,0,6,430.53,0,1.96,0,0,11.64
 72-82,0,6.97,0.81,0,471.26,0,0,0,80.68,0.67,0,0.66,1.25,0.89,4.21,0,0,7.86,106.8,0,0.71,6.04,2891.59,0,6.21,0,3.66,0.55,395.44,0,1.8,4.66,0,10.16
 84-94,0,5.51,3.2,0,380.25,0,0,1.13,46.89,1.36,0,2.13,3.76,0,0,0,0,10.41,84.99,0,1.37,0,1528.75,0,7.64,2.12,3.96,2.33,232.17,2.69,0,1.18,2.97,0.88
 96-106,1.91,19.94,9.9,0,335.83,10.44,1.74,7.99,64.88,3.01,0,1,0,0.71,1.38,2.05,2.31,0.69,103.17,0,0,0,1430.29,0,5.48,1.77,0,12.88,156.75,1.13,0.88,2.42,4.25,0.6
108-118,0,18.33,10.67,1.56,325.84,0,0,0.5,78.07,0,0,1.35,0.48,0,0,0,0,5.27,93.99,0,2.34,2.32,1791.65,0.59,3,0,0,0.97,108.07,1.77,0.56,3.64,3.37,2.13
120,9.95,15.26,4.03,0,512.68,0,7.93,0,64.2,1.21,0,0,1.47,0,0,0,5.29,10.94,100.42,0,9.27,11.13,3189.57,0,7.69,3.01,0,9.08,280.39,0,0,15.72,0,2.85
