stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,35.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,149.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,26.75,32.72,0,0,0,107.35,0,0,0,0,0,0,0,0,0,0,0,0,0,466.73,0,0,0,18.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.8,3.62,0,0,0,47.78,0,0,0,0,0,0,0,0,0,0,0,0,0,237.55,0,0,0,38.95,0,26.89,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,1.01,0,1.4,14.96,3.46,0,0,0,1.03,0,0,1.02,8.31,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.71,0,0,2.9,0,0,0,0,0,0,0,6.58,0,2.9,69.74,9.04,1.28,0,0,0,0,0,1.93,9.76,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.09,0,0,3.57,0,0,0,0,0,0,0,2.34,0,0.87,139.92,7.89,7.85,0,0,0,0,0,0,28.2,0,0,5.27,0,0
 48-58,0.77,0,0,0,0,0,21.26,0,1.33,1.45,0,0,0,0.38,0.42,0,0.79,7.64,0,1.42,262.73,20.51,0,0,0,0,0,0,0,25.26,0,0,0.38,0,2.2
 60-70,0,0,0,0,0,0,20.24,0,3.35,3.24,0,0,0,0,0,0,0,100.55,0,1.09,55.76,33.36,0,0,0,0,0,0,0,12.48,0,0,0,0.61,0
 72-82,0,0,0,1.61,0,0,72.67,0,0,9.77,0,0.5,0,0,0,0,0,509.57,0,0.82,159.05,33.15,3.56,0,0,0,0,0,0,15.03,0,1.38,0,0,0
 84-94,0,0,0,1.33,2.55,0,31.54,3.35,0,6.77,0,0,0,0,0,0,0,432.14,1.07,2.18,66.11,46.26,0,0,0,0,0,0.68,0,7.6,0,11.33,0,15.51,0
 96-106,0,0,0,2.79,2.12,0,46.69,0,0,1.28,0,0,0,0,0,0,1.03,352.05,2.12,2.01,105.22,27.63,3.73,0.57,0,0,0,0,0,0.87,0,3.89,2.79,14.41,1.29
108-118,0,0,0,2.16,0,0,14.43,0,1.36,2.09,0,0,1.3,0,0,0,0,351.35,0,0,64.93,44.4,0,3.69,0,0,0,0,0,0,0,10.59,0,2.97,1.43
120,0,0,0,8.03,0,1.91,5.89,0,0,25.63,0,0,0,0,0,2.84,0,583.19,0,0,45.23,85.6,0,0,0,0,0,0,0,4.78,2.39,6,0,15.35,0
