stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.01,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0.91,0,0,0,0,8.16,0,0,0
 24-34,0,0,1.03,0,0,0,0.66,1.92,0.82,0,0,0,0.81,7.56,0,0,0,2.47,0,3.66,4.03,0,0
 36-46,0,0,0,0,0,1.54,0.56,0,0,1.47,0.65,0,0,24.52,0,0,0,0,0,2.35,0,0,0
 48-58,0,0,3.83,0.51,0.43,1.41,0,0,0,1.78,0,0,0,31.7,0,0,0.59,0,1.28,5.26,0,0,1.18
 60-70,0,0,13.18,0,0,0,0,0,2.52,0.77,0,5.24,0,40.17,0,0,0,0,0,9.13,0,0,0
 72-82,1.17,1.78,16.03,0,0,1.06,0,0,0,7.56,0,0,0,27.61,0,0,0,0,0,2.19,0,0,0
 84-94,0,0,5.01,0,0,11.2,0,0,0,4.97,0,0,3.26,23.18,0,0.97,0,2.26,0,0,0,0,0
 96-106,0,0,12,1.9,0,2.26,0,0,0,0.61,1.83,0,0.62,21.22,0,0,0,0,0,0,0,0.61,0
108-118,3.61,0,15.75,0,0,0.47,0,0,0,0,0,0,0,27.49,0,0.47,0.48,0,0,0,0,0,0
120,0,0,3.39,0,0,0,0,0,0,17.06,0,0,0,54.33,0,0,0,4.52,0,0,0,9.85,0
