stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.76,0,0,0,0,0,0,0
 14-21,0,1.05,0,0,0.98,0,0,0,0,0,4.35,0,0,0,0,0.86,0,0,0,2.12,0,2.79,1.1,0,1.74,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,2.67,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0.77,0,0.47
 60-70,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64,0,2.8,0,0,1.91,0,0
 72-82,0,0,0,0,2.54,0,0,0,1.13,0,0,0.58,0,0,0,0,0,0,0.56,5.73,0,0.75,0,0,0,0,1.04
 84-94,0,0,0,0,3.46,0,0,0,0,0,0,1.53,0,0,0,1.99,0,0,0,0,0,4.98,0,0,6.14,0,0
 96-106,0,0,0,0,19.31,0,0,10.54,9.2,3.16,0,0.8,0,3.43,4.79,2.07,0,0,0,3.49,0,9.24,0,0,0,1.83,0.75
108-118,0,5.45,2.09,13.83,27.17,0,0,0,32.95,1.73,0,4.34,1.27,10.82,0.5,2.31,0.53,0,0.91,10.14,12.27,60.84,0,0.53,1.83,2.2,3.41
120,0,16.38,0,3.4,110.68,6.04,1.44,0,62.76,5.34,0,5.33,0,10.02,0,9.31,0,10.62,10.88,13.08,7.4,32.56,0,0,11.17,1.53,6.48
