stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,60.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.42,55.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0
  7-9,10.23,4.3,5.34,0,0,0,0,0,0,0,0,0,0,65.18,0,0,0,24.36,0,0,0,0,0,0
 10-12,0,0,5.95,0,0,5.19,0,0,0,0,0,0,0,54.79,0,0,0,12.29,0,0,0,0,0,0
 14-21,0,0,0,0,0.81,1.12,0,0,0,0,0,0,1.21,15.2,0,0,0,0,0,1.08,1.84,1.71,0,0
 24-34,0,0,0,0.9,0,2.88,0,0,0,0,0,4.3,1.58,42.77,0.76,1.05,2.48,0,0,0,0,5.49,0,0
 36-46,0,0,0,0,0,1.72,0,0,1.24,0,0,4.22,0,73.01,0,0,2.64,0,0,0,0,3.97,1.31,0
 48-58,0,0,0.4,0,0,14.32,0,0,3.76,2.33,0,3.04,0.52,37.08,0,0,0,0,3.07,0,0,8.48,0,0
 60-70,0,0,0,0,0,13.96,1,0,1.19,0,0,3.67,0,20.61,0,0.81,0,0,3.13,0,0,0,0,0.69
 72-82,0,0,0,0,0,9.45,0,0,3.66,0,0.9,1.68,0,17.76,0,0,0,0,0.6,0,0,0,1.48,0
 84-94,0,0,0,1.91,0,0.61,0,0,5.71,0,0,0.6,1,6.94,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.25,0,0.71,2.52,0,0,0.76,0,2.42,0,0,0,0,0.97,0,0,0,0,0
108-118,0,0,0,0.92,0,1.44,0,0,0.83,0,0,1.07,3.3,4.42,0,2.37,0,0,0,0,0,0,1.36,0
120,0,0,0,0,0,5.37,0,0,13.61,1.43,0,4.78,0,16.05,0,0,0,0,0,0,0,0,0,0
