stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,31.32,0,0,0,0,0,0,0,0,0,0
  7-9,5.49,0,8.25,0,0,0,0,6.16,0,0,0
 10-12,0,0,4.09,0,0,0,11.64,10.43,0,0,0
 14-21,0,1.29,0.91,0,0,0,7.71,0,0,2.87,1.03
 24-34,0,0,0.67,0,1.73,0,4.6,0,0,0,0
 36-46,0,0,0.75,0,0,0,2.8,0,2.34,0,0
 48-58,0,0,1.23,0,0,0.57,2.58,0,0,0,0
 60-70,0,0,3.93,0,0,0,1.69,0,0,0,0
 72-82,0,0,0,0,0,0,0.69,0,0,0,0
 84-94,0,0,3.17,0.62,3.59,0,1.13,0,0,0,0
 96-106,0,0,1.58,3.06,0.73,0,0,0,0,0,0
108-118,0,0,5.78,0,0,0,0,0,0,0,0
