stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,51.11,961.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.06,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.51,549.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.28,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0
  7-9,27.33,30.9,29.35,0,0,0,55.01,0,0,0,0,0,24.63,0,0,0,0,0,0,0,0,0,0,0,379.3,8.58,0,0,133.7,0,3.71,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,20.05,0,6.59,0,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.26,8.66,0,0,123.48,0,0,8.97,0,20.27,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,6.13,3.72,0,6.64,0,0,0,0.99,0,0,0,0,0,0,0,0,0,5.02,0,0,12.39,77.63,0,0,1.53,0.83,0,8.84,0,10.09,1.87,0,11.38,22.57,0,0,2.17,0,0
 24-34,0,0,0,7.09,0,0,28.77,0,0,0,2.51,0,0,0,0,1.77,0,0,0,0,13.14,0.76,0,10.66,195.1,0.7,0,0.68,0,0,15.78,0,0,1.12,0,2.28,43.52,0,0,6.31,0,1.12
 36-46,0,0,0,0.77,0.6,0,63.27,0,1.39,0.89,7.98,0,0,0,0,0,3.69,0,0,0,20.33,0,0,4.45,161.98,0,0.66,0,0,0,16.84,0,0,0,0,0,29.83,0,0,8.67,0,0.57
 48-58,0.77,0,0,4.06,0,0,52.28,0,0,0.41,4.68,0,0,1.15,0,0,0,0,0,1,13.07,0,3.17,1.97,90.49,0.49,2.55,0.37,0,0,1.35,0,0,0.46,0,0,18.24,0,0,1.97,0,0.39
 60-70,0,0,0,0,0,0,51.12,1.88,2.24,0.62,10.19,1.43,0,0,0,0,0.67,0,0,0,11.3,0,0,5.28,71.27,0,0.84,0,0,0,0.78,0,0,0,0,0,13.35,0,0,1.49,0,0
 72-82,0,0,0,1.85,0,0,35.62,0,0,1.73,12.6,0.7,0,0.53,0.83,0,0,0.92,0,0.5,29.37,0.58,2.2,4.32,93.32,1.8,0,1.04,0,1.31,1.57,0,0,0,0,0,8.89,0,0.61,5.51,0.9,0
 84-94,0,0,0,4.57,0,1.24,21.47,0,1.13,0.65,5.57,2.13,0,0,0,0,2.39,0,0,0,28.98,0,1.84,1.79,53.94,1.28,0,4.29,0,0.91,7.23,0,0,0,0,0,0.89,0.72,0,4.6,2.78,9.76
 96-106,0,0,0,0.58,0,0,23.88,0,0,0,15.36,5.44,0,0.68,0.86,0,0,0,0,0,16.76,0,2.07,0,57.16,0,0,0.64,0,0,2.88,0,0,2.22,0,0,3.14,1.08,0,4.58,2.34,0.75
108-118,0,0,0,7.55,1.88,0,22.57,0,0.43,0.74,21.03,1.11,0,1.49,4.68,1.02,1.26,1.52,1.36,0,18.17,0,1.75,0.75,55.92,0,0,9.07,0,0,5.92,0,0,2.18,1.05,0,1.93,0,0,3.97,0,0
120,0,0,0,0,0,0,43.91,1.04,1.28,0,4.87,0,0,0,0,9.09,1.91,0,0,0,13.69,1.46,2.03,0,97.62,0,0,0,0,0,3.23,0,0,9.01,0,0,0,0,0,0,11.83,0
