stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.78,0,3.1,0,0,0,0,0
 14-21,2.65,0,0,0,0,0,0,0,0,19.26,0,63.02,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.68,1.24,7.26,0,0,0,0,0,0,0,0,579.88,0.68,0,0.63,22.02,0,1.47,2.61,0,0,0,21.56
 36-46,0,0,1.89,0,0,0,0,0,0,0,0.94,1191.96,0,0,0,33.52,0,2.13,0.9,0,0,0,13.44
 48-58,0.76,0,15.62,0,1.13,3.53,0,0,0,0,4.33,759.48,0.44,0.56,0,37.99,0,0.41,3.46,0,0,0,8.51
 60-70,0,0,9.17,0,1.42,7.32,0,0,0,0,7.88,665.54,1.24,0,0,15.69,0,4.08,3.85,0,0,0,33.18
 72-82,6.25,3.83,19.64,0,4.19,3.4,0,0,0,0,5.83,381.11,1.76,0,0,25.75,0,0,0,0.81,0,1.24,44.5
 84-94,1.24,0,35.46,0,0,1.69,0,0,1.52,0,6.68,784.29,11.95,0,0,8.89,0,9.33,0,0,1.99,0,61.95
 96-106,0,0,33.29,0,0,0,0,0,1.02,0,2.42,460.78,17.24,0,0,29.69,0,1.23,5.71,0,1.45,0,77.79
108-118,2.08,1.97,30.21,0.6,0,1.04,0,1.04,0,0,2.47,797.55,3.16,0.75,0,24.55,0.55,0.48,0,0,0,1.15,190.4
120,0,0,0,0,0,0,2.27,1.61,0,0,0,303.07,0,0,2.4,16.94,0,0,0,0,0,0,97.58
