stage,blastomeres,epidermis,eye,fin_epithelia,gut,mesenchyme,neural,notochord,taste
  5-6,27.11,0,0,0,0,0,0,0,0
 10-12,0,0,10.64,0,0,0,3.01,3.67,0
 14-21,0,1.28,0,0,0,0,0,0,0
 24-34,0,0.6,0.71,0.59,0,2.46,0,0,0
 48-58,0,0,0,0.42,0,0,0,0,0
 60-70,0,10.86,0,0,0.88,0,0,0,0
 72-82,0,6.62,0,2.26,1.01,0,2.3,0,0
 84-94,0,17.83,0,0,4.44,0,1.75,0,0
 96-106,0,15.66,0,0,5,0,0.65,0,0
108-118,0,28.23,0.64,0,5.47,0,1.35,0,4.8
120,0,8,2.37,0,6.59,0,0,0,0
