stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,35.49,359.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8,0,0,0,0,0,0,0
  5-6,9.26,168.51,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,8.03,0,0,0,0,21.26,0,0,0,0,0,0,0
  7-9,3.58,0,0,0,0,29.87,0,0,0,0,0,0,0,0,0,0,0,110.81,0,0,0,24.33,0,0,0,0,0,0,0,0
 10-12,0,10.91,0,0,0,5.67,0,0,0,0,0,0,0,0,0,0,0,143.29,0,0,0,47.27,0,11.32,0,0,0,0,0,0
 14-21,0,0,0,6.6,1.77,1.06,0,0,1.13,0,0,0,0,0,0,0,2.19,40.49,0,0,1.27,0.85,0,0,2.26,0,5.47,12.26,0,0
 24-34,0,0,0,0,0,5.59,0,0,0,0,0,0,5.19,0,4.09,0,0,43.87,0,0,1.66,0,0,0,0,0,0,6.92,0,0
 36-46,0,0,0,0,0,13.17,0,0,0.72,0,0,0,0,0,7.23,0.71,1.02,49.27,0,0.6,5.1,0,1.01,0,0,0.62,0,4.36,1.76,0
 48-58,0,0,0,0.39,0,12.42,1.55,0,1.63,0,0,0,1.08,2.47,3.88,0,0.42,8.02,0,0,0,0,0,0,0,0,0,4.68,0,0
 60-70,0,0,0,3.2,0,9.33,0,0.6,2.26,0,3.78,0,0,0,3.21,0,0,6,0,0,0,0,0,0,0,0,0,4.25,0.58,0
 72-82,0,0,0,0,0.57,3.42,0,0,6.09,0,0,0.69,0,0,3.29,0,1.63,5.3,0.53,0,0,0,0,0,0,0,0,0.55,0,0
 84-94,0,0,0,0,0,6.69,0,0,0.9,0,0,0,0,0,3.46,0.57,0,9.88,0,0,0,0,0,0,0,0,0,0.65,6.74,2.14
 96-106,0,0,0,0.6,0,10.85,0,0,10.97,0,0.63,0,0,0,4.42,0,0,5.11,0,0,0,0,0,0,0,0,0,1.3,0,0
108-118,0,0,0.74,0,0,8.63,0,0,0,0,0,0,2.05,0,1.38,0,0,3.72,1.58,0.54,0.54,0,0.54,0,0,0,0,0.96,0,0
120,0,0,0,1.92,0,4.39,0,0,0,0,0,0,0,0,1.76,0,0,11.33,0,0,13.66,0,0,0,0,0,0,0,0,0
