stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,0,0,0,0,0,0
  5-6,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,26.68,0,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,37.8,17.42,0,0,8.38,0,0,0,19.74,0,0,0,0,0,0
 14-21,0,0,18.93,11.62,3.56,0.94,0,0,0,0,0,0,0,0,0,5.18,0,69.39,94.83,11.28,0,0,0,0,0.91,1.38,55.38,10.96,53.82,0,0,0,0
 24-34,0,2.95,1.36,0,0,0.6,0.68,0,6.28,0,3.27,0,0,1.67,0,22.86,0,19.21,564.05,0,0,0.94,0,0,0,0,10.48,0.63,113.22,0,0,0,0
 36-46,0,0,0,0,0,10.02,6.29,0,1.19,0,0,0,0,3.1,0.79,8.95,0,19.48,635.93,10.64,0.64,0,0,0,0,0,22.97,0,159.53,0,0,0,0
 48-58,0,0.55,0,2,7.12,27.77,0,0,5.71,0,0,0,0,0,0,13.04,0,15.71,439.01,0,0,0,0,3.07,0,0,3.94,0,87.55,0,0,0.48,0
 60-70,0,0.89,0,0,0,32.25,0,0,13.16,2.72,0,0,0,0,0,51.05,5.29,9.06,272.32,0,0,0,0,0,0,0,12.68,0,39.27,0,0,0,0
 72-82,0,0,0,0,0,8.22,0,0,2.76,0,0,0,0,0,0,58.82,0,5.63,202.28,0,1.56,0,0,0,0,0,8.66,0,8.82,0,0,1.59,13.79
 84-94,0,2.19,0,0.87,0,16.14,0,0.87,3.93,0.69,0,0,0.73,0,0,65.92,0,2.85,149.56,0,0,0,0,4.41,0,0,6.68,0,16,0.9,3.13,0,0
 96-106,0,0,0,1.98,0,7.69,0,0,5.83,0,0,0,0,0,0,67.92,0,10.2,141.66,0,0,0,0,0,0,0,6.69,0,8.34,0,0.66,0,0
108-118,0,0,0,2.65,0,3.16,0,0,3.7,0,0,0.75,0,0,0,57.29,0.97,7.88,132.7,0,0,0,0,0,0,0,9.33,0,4.77,0,0,1.57,1.16
120,0,0,0,0,0,14.22,0,0,19.62,0,0,0,0,0,0,70.68,0,6.15,170.26,0,0,0,0,0,2.5,0,4.15,0,2.39,0,0,0,0
