stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,80.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0,0
  7-9,5.02,0,0,0,0,7.46,0,0,0,0,0,0,0,0,31.88,4.58,0,10.74,0,0,0,0,0,0
 10-12,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,107.58,0,0,27.62,0,3.78,0,0,0,0
 14-21,0,0,1.27,2.34,0,0,0,0,0,0,0,0,0,2.08,2.76,0,0,0.99,0,0,1.98,1.75,0,0
 24-34,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,3.18,0,0
 36-46,0,0,0,0,0,1.46,0,1.59,0,0,0,0.77,0,0,11.77,0,0,0,0.87,0,0,1.49,0,0
 48-58,0,0,0,0,0,1.58,2.05,0,0,0,0.48,1.42,0,0,5.23,0,0.95,0,2.23,0,0,4.14,0.41,0
 60-70,0,0,0,11.05,0,1.6,0,0.86,0,0,0,0.73,12.73,0,16.54,0,0,0,0,0,0,1.91,0,0
 72-82,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0.83,2.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.79,0,0,0,0,1.3,0,0,2.32,0,0,7.19,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.95,4.56,10.15,0,0,0,0,0,5.68,0,0.91,9.76,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,5.84,0,0,0,0.69,0,1.71,0,0,12.74,0,0,0,0,0,0,0,0,0
120,0,0,0,2.45,2.06,0,0,0,0,0,0,0,0,0,53.51,0,0,0,0,0,0,0,0,2.31
