stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  5-6,19.57,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.28,0,0,0
 14-21,0,0,0.88,0,3.27,0.99,0,0.85,0,0,1.92,0
 24-34,0,0,0.99,0,2.68,0.61,4.88,3,0,0,1.43,0
 36-46,0,1.32,1.55,0,0.69,0,20.86,9.79,0,0.57,1.28,0
 48-58,0,2.19,5.1,1.14,0.57,0.49,17.01,0,0,0,1,0
 60-70,0,0,10.95,0,3.9,0.87,14.49,100.9,0,0,1.76,0
 72-82,0,0,2.08,1.35,0.85,0.73,8.18,0,0,0,0,0
 84-94,0,0,8.02,0.78,0,0,14.37,15.86,0,0,0,0
 96-106,0,0,0,0.96,3.87,0,1.8,15.14,0,0,0,1.1
108-118,0,0,0.69,0,0,2.49,8.46,12.05,0,4.79,0,0
120,0,0,14.81,0,0,0,4.71,191.83,0,0,0,0
