stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,61.46,0,0,0,0,0,0,0,0,0,5.23,0,0,0,0,0,0,27.21,0,0,0,4.58,0,3.78,0,0,0,0,0,0,0,0
 10-12,0,0,58.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.38,0,0,0,0,0,0,0,0,4.82,0,0,0,0,0,0,0,0,36.56,0,0,0,1.71,0,12.91,5.3,0,4.93,35.82,0,0,0,0.94
 24-34,0,0.8,0,0,0,0,4.25,0,0,0,4.06,0.63,0,0,0,0,1.92,0,0.71,226.45,0,3.03,0,0,0,35.94,0,1.19,2.59,114.69,0,0,1.65,0
 36-46,0,0,0,0,0,0,13.32,0,0,0,2.71,0,0,0,0,0,4.41,0,0,885.82,0,0.66,0.78,0,0,50.67,0,0,0,171.37,0,0,0,0
 48-58,0,0,0,4.54,0,0,54.58,0,0,0,15.76,0,0,0,0,0,16.14,0,0,1247.37,0,0.97,0,0,0,10.8,0,0,0,132.15,0,0,0,0
 60-70,0,1.51,0,0,0,0,240.93,0,0,0,20.59,0.65,0,1.9,0,0,20,0,1.21,2343.46,0,3.34,0,0,0,1.94,0,0,0,222.23,0,0,3.6,0
 72-82,0,3.55,0,7.16,0,0,350.89,0,0,3.1,34.02,0,0,0,0,0,24.11,0,2.32,1838.43,0,10.31,0,0,0.71,4.36,0,0,0,160.74,0,0,0,0
 84-94,0,4.19,0,5.38,0.76,0,266.18,0,0.67,1.34,15.27,1.6,0,0,0.69,0,31.78,0.66,0,1395.69,1.43,3.27,0,0,0,4.54,0,0,0,62.92,1.55,0,1.86,0
 96-106,0,8.69,0,3.4,4.99,0,206.77,0,1.03,0,12.27,1.16,0,0,0,2.16,19.99,0,0,956.41,0,2.87,2.32,0,0,1.59,0,0,0,25.59,0,0,0,0
108-118,0,3.22,0,4.91,0,0.59,255.56,0.44,0,0.48,11.68,1.64,0,0,0,0,23.8,0,0,1044.27,0,5.81,0,0,0,1.54,0,0,0,46.04,0,5.88,0,0
120,0,0,0,17.58,0,0,185.42,0,0,0,28.19,0,0,0,0,6.54,36.61,9.54,0,1535.57,0,2,0,0,0,0,0,0,0,52.85,0,0,0,0
