stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord
  3-4,402.02,11049.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.23,0,0,0,0
  5-6,168.94,3664.58,0,0,0,0,0,0,0,0,0,0,0,0,33.9,0,0,0,6.56,32.17,0,0,0,0
  7-9,5.16,12.21,0,0,6.57,0,0,0,6.21,0,0,0,0,0,143.81,0,0,0,44.91,7.91,15.19,0,0,0
 10-12,0,4.08,0,12.28,0,0,0,0,0,0,0,0,0,0,14.81,7.35,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,0,1.19,0,0,0,0,0,0,0,2.89,0,1.86,0,0,0,0,0,0,0.8,0,3.02
 24-34,0,0,0,0,0,0,0,0,0,0,1.03,0,2.56,0.89,6,0,2.39,0.72,0,0,0,0,4.45,0.87
 36-46,0,0,0,0,1.49,0,0,0.97,0,0,0,0,3.03,0,3.05,0,0,0,0,0,0,0,0.75,1.12
 48-58,0,0,0,0,1.6,0,0,0.6,0,0,0,0,4.17,4.82,8.24,0,0,2.83,0,0,0,0,0,3.12
 60-70,0,0,0,0,5.52,0,0,1.78,0,0,0,0,2.02,0,3.54,0,0,0,0,0,0,0,0.97,1.63
 72-82,0,0,0,0,5.13,0,0,0,0,0,0,0.87,0.49,1.36,4.6,0,0,0,0,0.59,0,0,0,0
 84-94,0,0,0,0,3.97,0,0,0,0,1.11,0,0,2.44,0,8.03,0,0,0,0,0.88,0,0,0,0
 96-106,0,0,0,0,0,0,2.34,3.97,0,0,0,0,4.64,0,12.01,0,0,0,0,4.77,0,0,0.8,0
108-118,0,0,0,0,3.94,0,0,0.45,0,0,0,6.2,0,0,0,0,0,0.47,0,1.28,0,0,1.36,0
120,0,0,0,0,0,1.13,0,9.18,0,0,0,0,0,0,4.36,0,0,0,0,0,0,0,0,0
