stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.76,0,0.86,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,5.14,0,0,1.84,22.81,1.04,1.99,0.91,0,0,0,0,0,1.66,8.45,0,0,0,0,0
 24-34,0,0.8,0,3.11,0,8.19,0.72,0,0,3.47,0,0,0,0,0,0,0,0,6.7,0,0,3.63,121.11,0,0,7.44,0,0,3.08,0,0.83,3.75,30.5,0,0,0,0,0
 36-46,0,0,0,1.07,0,12.02,3.38,2.03,0,19.44,0,0,0,0,0,0,0,0,16.24,0,1.12,3.45,344.37,0,1.97,0,0,2.61,0,0,0.58,1.38,37.62,0,0,0,0,0
 48-58,0,0,0,2.88,0,177.86,0.47,3.43,3.66,35.8,0,0,0,0,0,0.69,0,0,62.33,0,0,11.04,737.12,0,3.55,10.33,0,0.5,0,0,0,0,49.41,0,0,0,0,0
 60-70,0,0.57,0,12.4,0,584.83,1.62,4.4,0,123.65,0,0,0,0.6,0,2.13,0,0,87.01,0,0,29.34,865.25,0,0,17.88,0,3.88,0,1.06,0,0,55.25,0,1.5,0,0.64,0
 72-82,0,1.65,0,2.71,8.65,737.47,3.5,0.81,10.04,207.1,0.94,1.12,1.84,0,2.95,1.2,0.88,0,157.49,0,0,14.74,807.07,0,0.75,47.76,0,2.35,0,0,0,0,80.34,3.98,2.6,1.73,4.84,2.22
 84-94,0,2.62,0,10.47,0.66,401.24,0.69,1.63,4.44,134.08,1.46,0.78,0,6.84,0.62,3.31,2.44,0,92.27,0,3.37,9.41,652.73,0,0,13.51,0,6.63,0,0,0,0,45.12,1.34,2.23,0.66,2.72,12.23
 96-106,0,4.89,0,4.51,2.17,359.91,9.2,12.19,0,185.69,0.69,1.52,0,2.52,0,4.61,0,0,87.45,0,1.14,19.24,570.51,0.57,2.21,22.49,0,16.07,0,0,0.64,0,21.91,5.41,7.24,1.37,0,5.21
108-118,0,5.63,0,13.37,1,355.61,5.87,5.87,3.53,249.1,1.83,0.8,0,0,13.73,3.26,3.11,1.05,176.01,0.71,3.95,30.98,549.52,0,2.5,20.27,7.43,4.51,0,1.48,0,0,12.55,1.52,0,1.57,0.65,3.24
120,0,3.99,0,6.23,0,280.82,2.98,3.43,3.09,238.35,1.33,2.09,1.01,0,2.12,3.15,0,1.61,138.59,0,0,23.42,573.42,17.73,11.47,48.87,0,5.72,0,0,0,0,12.17,0,0,0,0,13.25
