stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,85.28,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.91,0,0,0,0,0,0,0,22.11,0,0,0,0,0
  7-9,0,12.99,0,0,0,0,0,0,51.15,28.76,0,0,0,0
 10-12,0,4.25,0,4.05,0,0,0,0,36.69,3.54,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.98,0,0,0,1.09,0
 24-34,0,0,0.81,0,3.74,1.32,0,0.63,10.9,0,0,0,0.96,0
 36-46,0,0,0,0,0,0,0,0.66,4.58,0,0,0,0.58,0
 48-58,0,0,0,1.02,0,5.67,0,2.91,15.55,0,0,0,0,0
 60-70,0,0,0,1.03,0,0,0,0,0.64,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.52
 84-94,0,0,0,0,0,0,0.68,0,0,0,0,1.21,0,0
 96-106,0,0,0,0,0,2.65,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0
120,0,0,0,0,0,0,2.76,0,0,0,1.09,0,0,0
