stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,66.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.67,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.75,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,0,4.71,0,0,0,0,0,0,0,0,0.98,0.81,0,0,0,0,0,0,0,0,0,0,247.89,0,0,0,0,0,0,0,0,0,118.11,0,0,0,0,0
 24-34,0,0.81,0,2.71,0,0,4.45,0,0,0,2.12,0,0,0,0,0,0,0,0,0,2.77,0,0,3.84,1202.61,0,8.53,0.9,0,0,0,0,0,2.48,582.31,0,0,0,0,1.19
 36-46,0,0,0,0,0,0,78.95,0,1.39,0,11.5,0.66,0,0.57,0,2.56,0,0,0,0,9.85,0,0,0.58,2481.54,0,42.44,0,0,0,4.39,0,0.7,0,908.22,0,0,5.86,0,0
 48-58,0,0,0,18.88,2.03,0,312.16,0,3.53,1.28,52.28,0,0,0,0,0.39,2.96,0.38,0,0,10.41,0.7,0.45,17.13,3858.46,0,13.14,0.42,0,0,5.88,0,0,0,922.84,0,0,5.86,0,7.2
 60-70,0,0,0,9.48,0,0,819.26,1.38,1.83,0,26.9,0,0,0,0,0.61,1.14,1.16,0,0,62.43,0,0,2.69,5705.49,1,8.9,0,0,0,11.9,0,1.33,0,1044.29,0,0,1.54,0,0
 72-82,0,0.54,0,12.53,12.25,0,1023.8,0,0,1.72,43.76,0,0,0,0,0,0,0,0,0,57.32,0,0,4.14,5399.7,0,15.63,4.31,0,1.4,5.3,2.8,0,0,755.42,0,0.66,4.23,2.53,7.18
 84-94,0,1.85,0,23.39,12.7,0,902.57,0.75,5.4,0.7,46.99,0,0,2.41,4.94,1.78,0.67,1.93,2.93,0,48.08,0,8.11,10.27,4288.52,8.06,11.6,5.38,0,0,9.79,0,0.68,0,594.27,0.9,0,8.61,0,14.34
 96-106,0,1.06,0,47.53,16.27,0.72,667.19,0,0,1.63,71.12,2.08,0,0,5.73,0.63,5.28,3.99,15.43,0,44.83,0,3.36,0.57,3542.5,0.62,7.69,5.11,0,3.99,11.87,0,0,0,214.19,2.05,1.2,0.62,0,21.55
108-118,0,0,1.47,26.03,0.69,0.95,849.63,0,0,0,60.82,2.6,0,1.42,2.85,0,0,0.51,0.81,0,35.79,5.97,0,0.9,3566.85,0.86,10.05,10.4,0,0,1.79,0,0,0,228.44,0.89,0,12.51,1.19,0
120,0,0,0,21.19,6.48,0,1041.23,12.08,1.21,0,141.26,1,0,0,8.33,0,0,1.54,3.16,3.02,63.87,0,11.9,17.28,5680.43,0,41.01,16.39,0,0,6.28,3.15,1.6,0,466.88,0,0,0,0,15.73
