stage,epidermis,eye,glial,mesenchyme,muscle,neural,otic,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,spinal.cord
  7-9,0,0,0,0,0,12.3,0,0,0,0,0
 14-21,0,0,0,0,0,4.15,0,0.88,3.46,0,0
 36-46,0,0,0,0,0,0.77,0.91,0,0,0,2.74
 48-58,0,0,4.53,0,0,2.04,0,0,0,3.46,0
 60-70,0,0.74,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.61,0,0,0,0,1.06,0
 84-94,0,1.32,0,0.74,0,0,0,0,0,0,0
 96-106,0,0,1.58,0,0,0,0,0,0,0,0
120,1.31,0,0,0,0,0,0,0,0,0,0
