stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,22.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.04,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0
 10-12,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3,0,17.06,0,0,0,0
 14-21,0,0.87,0,6.7,0,0,0,0,0,0,1.02,0,0.83,0,0,6.25,0,0,0,0,0,0
 24-34,0,0,0,6.1,0,0,0,0,0,0,0,16.99,0.89,0,0,7.69,0,0,0,0,0,11.46
 36-46,0,0,0,3.39,0,0,0,0,0,1.27,0,18.75,0.81,0,0,1.39,0,0,0,0,0,4.43
 48-58,0,1.29,0,7.83,0,0.73,0,0,0,1.01,0,0,0.55,0,0,4.09,0,0,0,0.39,0,2.91
 60-70,0,0,0,6.07,0,4.44,0,0,0.98,7.86,0,14.83,0.84,0,0,10.98,0,0,0,2.97,0,21.39
 72-82,0,0,0,4.06,0.64,0,0,0,0.58,7.24,0,0,0,0,0,0.9,0,0,2.49,0,0,7.69
 84-94,0,0,0,6.3,0,7.07,0,0,0,8.42,0,0,0,0,0.98,10.8,1.31,0,0,0,2.24,16.2
 96-106,0,0,0,0.93,0,0,0,0,0.62,3.14,0,0,0.6,5.65,0,1.91,0,0,0,0,0.7,11.69
108-118,0,0,0.77,7.28,0,0,0,0,0.87,21.36,0,0,3.12,0,0,7.62,0,0,0,0,0,3.03
120,0,0,0,2.57,0,0,1.13,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0
