stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
  3-4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88,0,0,0,0,0,0,0
 14-21,0,0,0.99,1.1,0,0,0,0,0,0,0,0,1.7,0,2.34,1.15,0,0,0,1.44,0,0
 24-34,0,0,0,0.85,0,0,0,0,0,0,0,3.78,0,0,8.44,0,0,0,0,0.84,0,16.61
 36-46,0,0,0,1.28,2.23,0,1.66,7.08,0,0,0,5.12,4.53,0,23.79,0,0,0,0,0.71,0,54.27
 48-58,0,0,0,7.41,6.37,0,0,0,0,0,0,5.09,3.6,0.42,19.28,0,0,0,0,4.73,0,295.87
 60-70,0,0,0,15.5,14.26,0,0,0,0,0,11,0,0,0,24.11,0,1.42,0,0,1.51,0,155.83
 72-82,0,0,0,1.8,6.82,0,0,0,0,0,0,6.4,1.42,0,17.41,0,0,0.9,0,3.18,0,97.15
 84-94,0,0,0,9.87,6.11,0,0,0,0,0,0,5.22,2.9,0,5.95,0,0,0,1.12,0,0.72,76.94
 96-106,0,0.76,0,0,0.99,2.94,0,0,0,0.9,0,0.56,3.97,0,14.71,0,0,0,0,0,0,14.78
108-118,0,0,0,5.62,1.61,1.46,0,0,1.13,0,0,7.31,10.35,0,10.44,0,0,0,0,1.4,0,91.39
120,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,10.03,0,0,0,0,0,0,0
