stage,epidermis,eye,gut,mesenchyme,neural,notochord,otic,somites,spinal.cord,visceral.smooth.muscle
 14-21,2.44,1.12,0,0,0,0,0,0.91,0,0
 24-34,2.41,0,0,6.93,6.31,2.43,0,0,0,0
 36-46,0,0.82,0,0.68,0,0,0,0,0.63,0
 48-58,0,0,0,0,1.01,0,1.15,0,0.59,0
 60-70,0,0,0,0,1.38,0,0,0,0,0
 72-82,0,0,0,0.71,0,0,0,0,0,0
 84-94,0,1.64,0,1.28,0,0,0,0,0,0
 96-106,0,0,0,0.82,0,0,0,0,0,2.48
108-118,0.96,0,0.61,0,0,0,0,0,0,0
120,8.57,0,0,0,0,0,0,0,0,0
