stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,50.67,0,0,10.01,0,5.19,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,16.1,5.23,0,0,0,0,1.45,3.64,0,0
 24-34,0,0.8,0.76,0,2.61,0.61,0,0,0,0,0,0,1.13,0,2.75,99.43,0,0,0,0,0,0.78,24.69,0,0
 36-46,0,0,0,0,0,2.35,0,0,0,0,0,0,0.63,0,0,69.23,0,0,0,0,0,0,15.14,1.55,0.81
 48-58,0,0,0,0,0,2.93,6.25,0,0.89,0,0,6,2.37,0,0,80.04,0,0.61,0,0.79,0,0,1.75,0.77,0
 60-70,0,0,0,0,0,3.57,15.29,1.9,0,0,0,0,0,0,0,70.55,0,0,0,0,0,0,4.19,0,0
 72-82,0,1.92,0,0,0,8.81,19.66,7.04,0,0,0.5,0,4.84,0,0,127.29,0,2.96,0,0,0,0,4.96,0,4.3
 84-94,0,1.89,0,0,0,15.99,8.27,7.08,0,0,0,0,0,0,0,112.07,0,0,0,0.57,0,0,9.9,0,0
 96-106,0,4.15,0,1.45,0,3.46,7.67,0,0,2.49,0,0,7.23,0,0,113.07,0.56,0.6,0,0,0,0,4.61,0,0
108-118,0,10.53,0,1.11,0,20.1,7.99,10.97,0,0,0,0.42,9.11,0.92,0,142.74,0,5.69,0,0,0,0,0,0,0
120,0,0,0,0,13.62,23.56,12.71,17.44,0,0,0,0,0,0,0,321.51,0,7.82,0,0,0,0,0,0,0
