stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,62.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.57,113.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,23.08,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,57.9,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.07,0,0,22.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.51,0,0,0,15.57,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.59,0,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5.67,0,0,0,0,0.9,0,0.89,13.31,0,0,0,0,0
 24-34,0,0,0.62,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,10.09,58.86,0,6.61,0.64,0,0,0,0.86,0,0,12.83,0,0,0,0,0
 36-46,0,0,0.94,0,0,0,20.71,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,108.78,0.57,11.77,5.22,0,0,0,0,0.7,0,16.33,0,0,0,0,0
 48-58,0,0,0.42,0,0,0,16.91,0,0,3.21,0,0,0,0,0,0,0,0.79,0,0,0,169.83,0,9.69,0.62,0,0,6.07,0,0,0,10.7,0,0,0,0,0
 60-70,0,0,0,0,1.39,0.6,720.9,0,0,19.85,0,0,0,0,0,0,0,5.76,0,0,0,199.04,0,5.08,0,0,0,0,0,0,0,0.65,0,0,0,0,5.02
 72-82,0,0,1.85,0,6.47,7.81,1722.85,0,1.64,47.91,0.65,0,0.56,3.21,0,0,7.34,13.54,0,0,1.4,286.79,0,9.96,1.46,0,1.4,0,0,0,0,0,1.68,0,0,0,0
 84-94,0,0,0,0,2.69,0,1807.23,12.31,1.74,37.46,0,0,0,8.94,4.61,0,0,5.67,0,0,2.52,269.1,0,17.87,0,0,0,5.12,0,0,0,20.43,3.25,0,0,2.37,0
 96-106,0,0,2.08,0,17.52,15.55,2156.52,1,0,75.68,1.06,0,1.18,1.14,6.13,8.78,0,33.24,0,1.06,0,257.71,0,0.71,2.25,0,0,2.36,0,0.57,0,9.67,9.94,0,4.3,0,0.75
108-118,0,0,0.41,0,15.6,0.79,1688.62,0,2.02,39.82,0,0,0.85,1.69,0,0,0,25.39,2.75,2.89,2.87,274.01,0.46,9.6,0.76,0,0,1.05,0,2.3,0,4.76,0,1.8,0,0,2.91
120,0,0,0,0,17.66,1.28,1078.41,0,1.6,33.72,0,0,0,0,0,0,0,7.47,1.31,0,4.71,452.99,0,9.21,3.1,0,0,3.62,0,1.97,0,0,0,0,0,0,0
