stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,165.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,72.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,34.67,14.56,0,0,0,17.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.91,66.77,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,28.96,12.38,0,5.53,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.77,867.42,0,0,41.28,0,0,0,53.1,0,0,0,0,0,0,0
 14-21,0,0,5.16,28.29,75.17,0,22.39,0,0,0,0,7.83,0,0.96,0,0,0,0,2.08,3.99,84.07,0,0,14.13,1132.31,760.08,0,3.91,0.87,0,0,2.49,0.89,0,3.83,169.27,0,4.11,0,1.14
 24-34,0,0,1.27,5.53,11.91,0,28.72,0,0,0,11.19,5.14,1.4,4.77,0,0,1.03,0,0,1.21,249.63,0,0,25.79,856.64,51.91,0,13.61,0,0,2.73,0,0,0.67,2.53,105.92,0,78.82,0,0
 36-46,0,0,0,0.74,4.79,0,24.58,0,0,1.09,80.2,0.66,0,1.78,0,0,0.61,0,0,0,169.88,0,0.74,7.75,516.5,3.55,0,5.43,0,0,6.4,0,0,0,0,65.17,0,86.32,0,0
 48-58,0,0,0,2.62,3.67,0,20.89,0,0,0,238.52,2.29,0,1.94,0,0,0.87,3.67,0,0.88,74.71,0,3,6.07,212.13,0.85,0,3.85,0,0.56,0,0,4.72,0,0,67.79,0,149.77,0,0
 60-70,0,0,0,0.88,7.48,0,21.8,0,0,0,154.56,0,0,0,0,0,4.45,3.61,0,0,27.93,1.91,8.08,1.39,128.38,0,0,5.4,0,2.07,3.2,0,0,0,0,43.09,1.66,158.44,0,0
 72-82,0,0,0,3.64,52.81,0,56.97,0,0,0,177.28,0,0,0.58,1.41,1.05,0.93,0.81,0,0.91,74.28,0,8.77,4.24,158.24,0,0.86,4.78,0,2.03,0,0,0,0,0,18.73,6.98,403.8,0,0
 84-94,0,0,0,4.01,37.24,0,43.21,0,0,0,144.45,0,0,0.78,6.97,0.6,3.66,3.82,0,1.27,44.47,0,0.58,12.05,114.63,0,0,3.46,0,0,0,0,1.79,0,0,9.88,24.24,308.95,0,7.62
 96-106,0,0,0,2.54,74.62,0,69.63,0.64,0,0,215.56,0,0,1.8,2.83,0,0,0,0,2.01,67.69,0,0,6.78,182.6,0,0,4.79,0,0,1.57,0,0.82,0,0,0,2.5,379.72,1.48,0
108-118,0,0,0,5.22,25.71,0,100.87,0,0.46,0,232.62,0.42,0,5.09,1.82,1.24,0,2.05,1.26,0,51.6,0,11.54,5.74,142.39,0,0,17.1,0,0,1.41,0,0,0,0,1.18,6.5,279.98,5.88,8
120,0,0,0,2.44,64.9,10.54,47.53,0,0,0,266.43,0,0,16.58,4.77,0,0,0,0,0,49.56,0,5.31,0,95.09,0,0,23.58,0,10.58,0,0,0,0,0,0,5.26,253.22,4.27,0
