stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.08,1157.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
  5-6,90.58,1492.31,0,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,78.39,0,0,0,21.44,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.37,19.3,0,34.9,0,0,58.56,0,0,0,16.82,0,0,0,0,0,0,0,0,0,0,804.26,20.35,0,0,232.12,0,0,7.76,0,0,0,0,0,0,0,0,0
 10-12,0,6.05,0,10.6,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.96,3.99,0,0,61.35,0,0,0,0,7.47,0,0,5.88,0,0,0,0
 14-21,0,0,0,0,19.36,1.04,2.73,0,0,8.32,0,0,0,0,0,0,0,0,6.19,0,9.28,141.89,0,0,1.47,1.95,0,0,0,12.45,0.9,0,9.54,28.02,0,0.87,0,0
 24-34,0,0,0.6,0,1.19,1.11,15.03,0,0,9.38,0,0,0,1.16,0,0,0,0.67,6.37,0,5.82,257.66,2.49,0.86,1.85,0,0,3.3,0,0,0,0,1.88,57.44,0,1.26,0,0
 36-46,0,0,0,0,1.07,0,49.3,0,0,11.55,0,0,0,0,3.64,0.72,0,0,15.58,1.36,10.31,306.73,3.36,1.22,0,0,0,1.38,0,0,0,0,0,72.51,0,1.76,0,0
 48-58,0,0,0,0,1.12,0,84.23,0,2.96,7.42,0,0.69,1.11,0,0,0,0,0,25.2,0,4.23,171.87,0,0,0,0,0.79,0,0,0,0,1.57,0,24.76,0,1.11,0,2.23
 60-70,0,0,0.89,0,0.77,0,89.65,0,0,15.6,0,0,0,0,0,0,0,0,13.04,0,0.97,137.94,0,0,3.1,0,0,3.08,0,0,0,0,0,9.28,0,0,0,0
 72-82,0,0,0,0,0,1.06,113.55,0,0,5.49,0,0,0,0,0.93,0,0,0,10.13,0,3.2,66.25,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,1.18
 84-94,0,0,0,0,1.79,0,48.51,0.56,1.27,3.94,0,0,0,0,0.62,0,0.83,0,13.8,1.13,1.81,27.69,0,0,0,0,0,0.95,0,0,0,0,0,2.01,0.63,1.88,0,0.69
 96-106,0,0,0,0,0,0,94.44,1.61,0.66,4.57,0,0,0,0,0.72,0,0,0,11.32,0,1.61,73.74,0,0,0.6,0,0,0.58,0,0,0,0,0,1.63,0,0,1.37,0
108-118,0,0,0,0,2.37,1.72,90.9,0,0.74,3.54,0,0,0,0,0,0,0,0,7.39,0,0.85,45.06,0,0,0,0,0,3.48,0,0,0,0,0,0.86,0,1.11,0,0
120,0,0,0,0,0,5.81,32.95,4.18,0,2.91,0,0,0,0,0,0,0,1.54,0,0,6.08,100.02,0,0,0,0,0,4.24,0,0,0,0,0,0,0,5.44,0,0
