stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,476.66,11450.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134.88,0,0,0,0,0,0,0,0,0
  5-6,186.09,2701.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.84,8.9,0,0,7.98,746.78,0,0,0,0,0,0,0,0,0
  7-9,29.06,0,0,9.11,0,0,0,4.1,0,0,0,0,15.16,0,0,0,0,0,0,0,0,180.01,15.58,0,0,62.52,136.05,80.67,0,0,0,0,0,0,0,0
 10-12,3.8,4.02,0,8.78,0,0,0,7.65,0,0,0,0,11.62,0,0,0,0,0,0,0,0,128.57,0,0,0,19.42,33.95,10.13,7,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.15,0,0,0,0,0,0,1.08,1.35,0,2.64,0,0,0,0.84,0,0,10.37,0,1.74,0,0,215.62,3.38,0.85,0,0.81,4.47,0,0,0,0
 24-34,0,0,0.84,0,3.47,0,0,2.73,0,0,1.7,0.67,6.6,2.87,5.22,0,0,0,3.41,2.11,0,26.89,0,12.3,1.44,0,322.59,0,5.81,0.6,0,6.76,0,0,4.31,0
 36-46,0,0,0,0,2.5,0,0,0,1.3,0,0,1.42,0.59,0.61,4.37,0,1.15,0,0.58,4.57,0,39.86,0,42.45,4.65,0,342.79,0.81,18.03,0,0,4.05,0,0,1.75,0
 48-58,0,0,0,0,4.65,0.41,0,1.97,0,0.39,0.43,0,3.59,3.99,5.32,0,2.34,0.39,1.58,17.47,0,37.01,0,30.85,1.64,0,187.33,0.98,9.94,0,0,3.41,0,0,1.89,0
 60-70,0,0,0,0,6.83,0,0,16.17,0,0,0,1.9,3.91,0.65,26.45,0,3.44,1.41,0,11.91,0,18.09,0,70.45,2.58,0,185.38,0,4.1,0,0,1.29,1.44,0,0,0
 72-82,0,0,1.47,0,8.62,0,0,7.84,1.5,0,0,5.86,1.63,0.65,3.1,0,1.76,0.5,6.05,5.99,0,28.59,0,71.43,7.05,0,82.52,0,3.65,0,0,0.56,5.99,0,0,3.96
 84-94,0,0,0,0,23.31,0,1.09,1.37,1.02,0,2.12,9.9,8.83,4.92,6.72,0,0.87,1.02,0.9,17.52,0,9.93,0,68.84,11.1,0,340.48,0,4.41,0,0,2.42,3.79,0,0,0
 96-106,0,0,0.95,0,45.12,0,0.97,0,1.15,0,7.18,13.73,0,2.82,9.23,0,2.33,4.1,1.32,9.28,1.42,17.07,0,89.99,4.74,0,237.52,0,0,0,0,0,11.48,0,0,0
108-118,0,0,3.17,0,56.58,0,0.75,3.76,0.42,1.84,1.62,18.91,0,6.55,14.02,0.43,8.17,18.96,2.12,7.43,0,8.47,0,59.42,6.3,0,188.3,0,3.2,0,0,0.58,2.97,1.16,0.49,0
120,0,0,3.9,0,119.49,0,0,22.88,0,0,1.07,27.43,0,6,21.07,0,6.05,13.9,0,9.76,0,17.64,0,91.21,6.52,0,101.96,0,14.47,0,0,0,0,0,0,0
