stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.48,0,0,0,8.67,0,0,0,0,0,0
 10-12,0,5.83,0,0,6.65,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,3.2,0,0,0,0,0,1.54,1.03,3.65,0,0
 24-34,0.84,0,0,0,0,0,0,0,0,0,0,0,0.66,0,43.4,0,1.74,0,0,0,0,0,14.24,0,0
 36-46,0,0,0,0,3.1,1.18,0,0.95,0,0,0,1.8,0,0,101.56,2.53,0,0,0,0,0,0,19.35,0,0
 48-58,0,0,1.09,0,12.82,0,1.47,0,0,0,0,0,0.93,4.78,189.95,0,3.85,0,0,0,1.43,0,22.69,0,0
 60-70,0,0,2.31,3.32,21.95,0,1.45,0,0,0,0,0,0.76,0.75,147.85,0,2.07,0,0,0,0,0,18.49,0,0
 72-82,0,0,0,0.6,32.16,0,5.77,0,0,0,0,0,2.31,0,167.83,0,3.29,0,0,0,9.87,0,25.11,0,5.81
 84-94,0,0,0,0,25.24,0,0.93,3.93,1.22,0,1.73,0,0,0,198.26,0,0,0,0,0,7.94,0,8.38,0,0
 96-106,0,0,0,0,8.17,0,3.22,1.01,0,1.34,0,0,0.76,1.14,141.13,0,2.09,0,0,0,0,0,2.95,2.19,0
108-118,0,0.74,7.5,0,26.62,2.62,5.05,0,0,0,0,0.55,1.84,0,150.33,0,1.39,1.13,0,0,0,0,0,0,0
120,0,0,2.81,1.71,69.27,0,22.9,0,0,0,0,0,0,0,305.11,0,1.26,0,0,3.68,0,0,13.18,3.81,0
