stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,244.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,262.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.82,5,0,42,0,0,0,67.65,0,0,15.07,0,0,0,0,0,0,0,0,352.21,10.7,0,0,94.09,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.71,0,50.08,0,0,0,21.74,0,0,10.92,0,0,0,0,0,0,0,0,572.32,23.33,0,0,158.22,0,0,12.77,3.57,18.38,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.54,3.52,8.24,0,5.16,1.1,0,0,0,0,0,0,0,3.21,0,0,46.38,0,0,0,0,0,0,0,4.14,0,0,6.78,14.9,0,0,0,0,2.62
 24-34,0,0,0,0,1.4,0,0,13.18,2.94,0,0,0,0,0,0,0,24.09,0,1.52,160.05,0,2.29,0.73,0,0,6.33,0,0,0,0,0.59,28.11,0,0,3.58,0,3.82
 36-46,0,0,0,0,1.05,2.83,0,31.08,1.07,0,0,0,0,1.01,0,0,4.91,0,2.28,97.84,0,4.39,0,0,0,2.92,0,0,0,0,0,12.7,0,0,0,0,0
 48-58,0,0,0,0,6.62,2.86,0,39.55,6.42,1.15,0,0,0,0,1.27,2.18,18.83,0,0.44,103.05,9.52,3.44,0.62,0,0,1.25,0,0,0,0,0,26.71,0,0,1.62,0,0
 60-70,0,0,0,0,5.18,0,0,87.35,14.67,0,0,0,0,0,0,0,8.57,0,2.46,107.98,1.73,1.42,0,0,0,2.07,0,0,0,2.58,0,14.68,2.13,0,0,0,0
 72-82,0,0,0,0,0.75,0,0.9,25.86,10.71,0.81,0,0,0,0,2.27,0.64,6.09,0,0.9,75.08,0,1.05,3.76,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,1.15,0,0.79,0.56,0,17.94,2.73,2.41,0,1.02,0,0,0,0,13.99,0,0,39.06,0,7.35,0,0,0,0.56,0,0,0,0,0,8.6,0,1.91,3.26,0,0
 96-106,0,0,0,0,0.94,0,0,13.09,8.17,2.35,0,1.22,0,0,0,0,4.66,0,0,35.06,0,0,1.2,0,0,5.88,0,0,0,0,0,1.78,0,0,1.49,0,0
108-118,0,0,0,0,0.59,1.05,0,18.58,13.6,0,0,0,0,0.58,0,0,16.25,0,2.23,47.93,0,0.45,2.16,0,0.87,1.37,0,0,0,0,0,0,0,0,0,1.42,0
120,0,0,0,0,6.02,2.15,0,34.11,17.64,2.28,0,0,3.42,3.52,0,1.99,12.3,10.27,2.22,133.71,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0
