stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,41.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,38.07,0,0,12.78,0,0,0,0,0,0,0,0,0,0
 14-21,0,9.89,0,0,0,0,0,0,0,0,0,2.42,7.07,0.95,0,3.82,10.59,5.23,0.93,0,2.23,0,1.13,407.89,119.09,3.21,0,0,0,0
 24-34,0,0,3.12,0.76,7.53,0,0,0,0,1.94,0,0.62,2.66,0,0,35.15,28.76,1.06,0,0,1.04,0,0,118.8,94.95,4.2,0,0,0,0
 36-46,0,0,0,2.71,21.71,0,0.84,0,0,0,0.81,0.61,10.2,0,0,7.43,33.66,0,0,0,0,0,0,82.62,3.15,2.68,0,1.01,0,3.72
 48-58,0,0,0,8.58,12.75,0,5.41,0,0,0,0.42,0,4.44,1.02,0.52,5.12,42.71,2.04,1.8,0,0.42,0,0,27.39,0,8.77,0,0.45,0,0
 60-70,0,2.04,0,19.7,33.3,0.93,0.64,0,0,0,0,0,1.86,0,0,19.22,23.04,0,0,0,0.75,0,0,22.71,0,5.18,0,0,0,0
 72-82,0,0,6.99,2.55,30.68,0,0,0,0,0,0,0,4.88,0,0,16.78,17.35,0,0,1.13,1.85,0,0,4.43,0,5.11,0,0.51,0,8.49
 84-94,0,0,0,13.97,25.69,3.93,1.33,0.71,0,0,0,0,1.38,0.89,0,8.24,10.34,0,0,0,0.79,0,0,31.47,0,0,1.26,0,1.95,0
 96-106,0,0,0,5.87,19.2,0,0,0,0,0,0,0,18.6,9.74,0,5.71,14.57,0,0,10.66,10.32,0,0,13.53,0,0,0,0.7,0,1.93
108-118,0,4.05,0,2.76,33.12,0,1.63,1.28,0,0,0,0,3.82,3.53,0,6.31,15.23,0,0,0,1.73,0,0,20.3,0,0,0,0,0,0
120,0,0,0,18.07,75.5,0,0,0,0,0,4.66,0,5.55,0,0,33.91,1.31,2.64,1.86,0,4.99,1.12,0,27.74,0,0,0,0,4.27,0
