stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,146.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25,6.95,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.71,0,0,0,0.82,0,3.41,0,0,0,0,0,0,0,0,17.59,0,0,28.54,8.31,0.97,0,0,5.02,0,0,3.77,0.86,10.64,70.83,8.74,0,0,0,0
 24-34,0,0,1.2,0.6,0,9.97,0,0,2.17,1.31,0,0,0,0,0,0,0,0,152.42,0,0,85.86,43.79,2.7,0,0,0,0,0,0,0,24.09,28.01,2.45,0,15.91,0,6.48
 36-46,0,0,0,0.65,0,7.82,2.43,0,9.12,0,0,0,0.75,0,0,0,0,0,230.39,0,0,47.33,22.11,1.84,0,3.32,0,0,0,0,0,12.04,1.02,5.85,0,16.12,0,7.75
 48-58,0,0,0,0.39,0,8.78,3.13,0,15.49,4.97,0,2.63,0,0,0,0,0,2.21,347.55,0,0,47.38,50.12,9.52,1.04,2.89,0,0,0.68,0,0,13.92,0,2.12,0,8.79,0,14.32
 60-70,0,0,0,0,1.83,15.44,3.24,4.06,16.35,11.01,0,0,0,0,0,0.6,0,0.59,551.65,0,8.69,43.84,37.5,7.54,0,0,0,0,0,0,0,4.68,0,3.18,1.27,26.65,0.81,11.18
 72-82,0,0,0,2.02,12.53,35.48,5.99,16.72,22.19,34.93,0,0.59,7.35,0,0.96,0,0.65,0,873.59,0,11.28,38.9,59.68,9.28,0,4.9,0,1.76,6.32,0,2.01,9.77,0,15.93,8.26,14.57,21.67,14
 84-94,0,0,0,3.02,10.23,37.11,0,0,41.11,39.84,0.92,0,5.99,0,0,0,0,5.87,672.79,0,6.51,38.15,39.34,3.03,1.05,0,0,1.31,0,0,0,0,0,5.89,2.3,11.3,9.77,28.22
 96-106,0,0.91,0,3.07,9.12,28.04,3.08,0.69,9.13,42.68,0,0,17.46,2.56,0,0,0,2.93,631.85,1.42,28.92,24.29,58.33,8.52,4.06,22.75,0,2.98,0.57,0,0.71,10.95,0,1.99,13.99,19.54,14.13,6.95
108-118,0,0,0,0.9,4.44,27.7,1.36,0,16.84,50.58,0,0,2.09,1.7,0,3.76,0,0,717.22,0,11.9,19.98,71.04,0,0,9.07,8.11,6.02,0,0,0,7.88,0,0,15.25,17.99,21.22,8.13
120,0,0,0,1.28,0,40.04,1.26,0,23.24,119.71,0,0,12.38,4.61,0,0,1.69,0,1138.57,0,81.67,16.77,62.39,0,0,16.47,0,74.49,0,0,0,2.07,0,2.04,22.44,31.62,36.98,0
