stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,110.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,159.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.84,0,0,0,0,0,0,0,0,0,0
  7-9,0,16.09,0,0,0,0,0,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.85,12.75,0,0,47.62,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.62,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.99,19.93,0,0,33.57,0,0,0,6.22,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.28,273.55,4.88,0,4.23,0,0,0,3.75,0,0,0,0.86,0,1.25,0,49.17,1.15,0,17.83,143.01,171.54,0,0,8.93,0,0.9,18.17,0,5.1,15.25,113.76,0,0,0,0,0
 24-34,0.88,0,0,0,79.5,1.02,0,2.5,0,1.56,1.21,42.67,0,6.11,0,0,0,0,0,90.84,0,0,7.72,234.1,69.28,0,3.22,0,0,0,0,0,6.03,13.91,83.72,0,0,0.98,0,0
 36-46,0,0,0,0,23.97,0,0,0,0,6.44,2.67,44.55,0,5.18,0,1.79,0,0,8.13,111.21,0,0,9.07,255.55,85.1,0,2.59,0,0,0,0,0,3.22,0,41.61,0,0,0,0,0
 48-58,0,0,0,0,10.05,0,0,20.36,0,5.52,3.42,56.94,0,5.53,0,0,0,0,0,232.91,0,6.16,12.64,195.24,109.82,6.1,4.02,0,5.34,0,0,0,1.59,0,29.61,0,0,1.43,0,1.28
 60-70,2.52,0,0,0,20.03,0,0,16.41,0,24.42,5.38,79.86,0,7.23,4.72,0.86,0,0,0,543.4,0,13.8,19.74,90.62,48.39,0,0,0,3.93,0,0,0,0,0,8.8,0,8.57,8.39,9.86,0
 72-82,0,0,0,0,14.35,0,0,68.97,0,19.35,25.02,37.61,1.48,0.68,0,1.06,0,0,0,1047.58,0,75.83,21.98,115.31,58.85,0,3.37,0,11.25,1.8,0,0,0,0,17.67,0.81,21.83,4.77,28.41,0
 84-94,1.23,0,0,0,12.12,4.54,0,79.57,1.38,30.63,13.4,31.46,0,4.42,0.56,4.19,0,0,1.81,626.39,3.76,68.3,10.56,91.78,75,0,3.8,0,0,0.66,0,0,0,0,1.29,0,34.76,11.72,26.66,0
 96-106,0,0,1.15,0,18.07,3.85,2.21,73.63,1.93,18.52,21.42,45.63,0.81,8.4,0,1.54,0,2.09,0,611.17,0,51.59,16.5,109.35,39.04,0,0,0,2.33,6.7,0,0,0.64,0,1.8,0,40.92,6.91,45.53,0
108-118,0,0,0,0,11.79,0,0,79.63,0,20.94,24.26,30.78,0.64,3.76,0,1.28,0.73,0,13.07,856.67,1.14,58.47,28.27,98.45,40.79,0.8,0,0,0.91,0,0,0,0,0,1.31,0,16.43,3.64,43.54,0.92
120,2.82,0,0,0,23.11,0,0,65.5,0,23,17.19,30.02,7.25,2.09,0,0,3.65,0,0,763.26,0,72.01,1.58,111.83,46.3,3.06,0,0,0,0,0,0,1.52,0,0,1.63,8.4,0,30.65,0
