stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0
 14-21,0,0,9.57,185.65,4.1,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,9.94,0,0,10.8,61.52,7.47,0,0,0,0,0,3.28,0,2.69,11.54,0,0,4.54,0,0
 24-34,0,2.68,6.41,102.24,0,0,1.38,0,7.79,0,0,0.92,5.16,3.7,0,0,2.33,0,0.73,33.49,0.69,0,27.14,96.01,13.03,0,2.68,67.19,0,0,2.15,0.63,3.77,42.53,0,0,172.28,0,0
 36-46,0,0,1.48,98.25,0,0,4.23,1.99,28.75,0.67,1.74,3.9,0,24.89,0,0.88,0,1.55,0,32.21,2.15,9.5,28.22,86.92,15.59,0,0.71,88.08,0,4.29,4.94,11.28,0,25.99,0,0,200.38,0,0
 48-58,0,0,0,45.7,0,0,15.32,4.08,51.69,0,15.45,5.02,3.9,10.96,0,0,0,9.84,0,45.19,1.75,10.01,19.12,53.68,1.63,1.71,0,34.81,0,0,2.01,0.42,0,12.28,0,0,167.53,0,0
 60-70,0,0,0,47.84,0,0,94.7,8.18,52.49,6.55,8.74,12.19,5.62,51.27,0,0,2.47,4.15,0,43.77,16.75,8.97,27.17,96.08,23.12,0,0.62,28.83,0,0,2.16,5.12,0,10.84,0,0,132.05,0,3.65
 72-82,0,0.87,0,51.05,1.63,0,205.29,2.65,29.04,0.77,14.29,10.11,3.52,39.58,0,0,3.97,0,0,64.62,0,5.69,8.04,123.6,2.86,0.74,4.21,22.97,1.65,0,0.53,0.5,0,3.32,0,1.62,245.39,7.15,0
 84-94,0,0,0,81.63,0,0,183.37,5.97,72.71,1.85,14.2,12.44,4.8,63.92,0,0,0.59,5.88,0,37.09,0,12.21,18.37,93.97,2.4,0.77,1.5,21.06,0,0,1,0,0,1.43,1.14,3.64,257.18,13.36,0
 96-106,0,7.89,0,67.39,0,0.56,376.78,9.85,60.52,3.94,14.12,13.31,7.93,41.13,2.65,1.6,0,10.27,0,33.57,0,0.57,18.19,96.88,7.59,7.76,8.17,25.1,5.44,0,1.79,1.37,0,12.07,11.58,4.43,229.15,0,0
108-118,0,0,1.17,42.65,2.36,3.45,381,4.74,88.25,2.81,25.74,13.41,0.59,53.73,1.15,0,2.08,0.6,0,23.52,0.47,5.31,14.01,115.7,29.29,2.79,18.17,10.31,0,0,1.06,3.34,0,8.07,5.55,4.03,262.76,0,0
120,0,0,0,108.93,3.81,0,240.82,4.45,87.3,0,30.36,3.56,0,76.63,1.02,0,0,0,0,18.62,0,0,7.24,242.2,31.93,1.88,13.55,9,0,0,0,0,0,10.59,11.6,0,365,1.8,0
