stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,56.46,0,0,0,0,0,0,0,0,0,0,0,0,0,30.78,0,0,0
  5-6,87.05,0,0,0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0
  7-9,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.53,0,0,0,0,0,0,0,20.18,5.29,3.74,0,0,0,0
 14-21,0,1.98,0,1.21,0,0,0,0,0,1.85,0.81,2.33,1.24,0,0,0,0,0
 24-34,0,0.78,2.05,1.28,0,0,0,2.15,0,5.58,2.95,1.56,0,0,0,4.45,2.98,0
 36-46,0,0,0,0,0,0,0,0,0,5.53,2.07,8.35,0,0,0,1.23,3.56,0
 48-58,0,0,0,0.6,0,0,0.73,0.51,9.13,4.49,0,5.04,0,0,0,1.71,0.91,0
 60-70,0,0,0,24.99,0,0,2.51,0,0,1.77,0,23.6,0,0,0,4.18,2.24,0
 72-82,0,0,0,17.06,0,0.62,1.13,0,0,6.98,0,5.8,0,0,0,4.29,4.41,0
 84-94,0,0,0,9.47,0,0.59,0,0,0,4.85,0,9.03,0,0,0,0,5.19,0
 96-106,0,0.93,0,17.35,0,0,0,0,0,0,0,10.82,0,0,0,4.02,4,0.87
108-118,0,0.65,0,4.46,0,0,0,0,0,12.74,0.53,2.44,0,0,0,0,9.2,0
120,0,0,0,0,3.01,0,0,0,0,9.44,1.99,12.51,0,0,0,0,5.44,0
