stage,axial,erythrocytes,eye,glial,mesenchyme,neural
  7-9,7.47,0,0,0,0,0
 14-21,0,0.99,0,0,0,0.97
 36-46,0,0,0,0,0,6.3
 72-82,0,0,0,0.55,1.04,0
 84-94,0,0,0.82,0,0,0.56
108-118,0,0,0,0,1.13,5.55
