stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,0,0,0
 10-12,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0,0,0,0,0,0
 14-21,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,9.78,5.89,0,0,0,0,0,0,0,1.67,3.24,0,0,0,0,0
 24-34,0,1.73,0,0,0.61,0,0,0,0.78,0,0,1.02,0,0.64,0,0,0,11.08,0,6.88,59.71,0,3.81,0,0,0,0,0,1.22,11.17,0,0,6.04,0,0
 36-46,0,0,0,0,4.94,0,1.14,0,4.69,0.56,0,0,0,0,0.6,0,0,8.58,0,1.78,126.22,0.55,3.78,0,0,0,0,0,0,7.97,0,0,0,0,0
 48-58,0,0,0,0,28.93,0,0,0,10.5,0,0.44,0,0,0,1.46,0,0,13.79,0,2.85,220.81,0,2.66,1.16,0,0,0,0,0,11.4,0,0,0.77,0,1.45
 60-70,0,7.17,0,0,44.97,0,0,0,9.21,0.78,0,0,0,13.21,0,0,0,20.89,0,0,366.63,0,0,0,0,0,0,0,0,5.26,0,3.46,0,2.25,0
 72-82,0,2.37,0,0,55.73,0,0.5,0.5,16.84,0,0.68,0,0,0,0,0,0,33.28,10.48,1.54,823.74,0,2.26,0,0,1.83,1.41,2,0,19.76,0,2.04,0,28.86,0
 84-94,0,4.91,1.07,0,82.92,0,0,1.43,11.19,1.01,0,0.65,0,0,0,0,0,29.27,4.25,0,677.62,0,0.7,0,0,1.59,7.02,0,0,18.53,0,8.22,0.65,46.76,0
 96-106,0,0.73,0,0,122.36,0,0,0.64,20.6,0,0,0,0,0,1.31,9.42,0,33.15,37.65,7.55,802.08,0,2.88,0,0,7.52,11.85,0,0,3.88,0,1.03,0.98,93.07,0
108-118,0,8.91,0,0.45,131.17,0,0.43,0,22.07,1.79,0,1.2,1.01,0.44,0,0,0.59,31.49,3.41,0.59,829.28,0,1.39,0,0,11.17,0,0,0,4.29,0.63,1.91,0,57.83,0
120,0,4.32,0,0,179.73,6.51,0,0,11.56,10.44,0,0,0,10.2,0,0,0,47.27,0,3,1890.84,2.43,0,0,0,0,5.85,0,0,4.78,0,10.17,0,169.33,0
