stage,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,periderm,spinal.cord,vasculature
 14-21,0.89,0,0,0,0,0,133.87,0,0,13.83,0.9,0,3.7,0,0
 24-34,0.91,0,0.62,0,0,0,710.44,0,5.69,66.97,0,10.92,4.63,0,1.09
 36-46,4.7,1.3,0.81,0.89,0,0,420.05,0,0.86,41.1,0,15.91,0.63,2.01,0
 48-58,2.29,0,0,0,0,0,75.09,13.3,0,9.42,0,3.53,0,0.91,0
 60-70,8.5,0,0,1.01,0.65,0,122.21,0,0,14.17,0,4.77,0,0,0
 72-82,0,0.76,0.66,0.82,1.84,0,43.24,0,0.75,14.95,0,4.03,0,1.08,0
 84-94,10.37,0,0,0,0,2.73,33.72,0,1.79,14.62,0,0,2.06,0,0
 96-106,22,0.67,0,0,0,0,18.27,0,3.06,21.72,0,13.85,0,0,0
108-118,13.8,0,0.86,0,0,0,52.69,0,0,9.04,0,0,3.87,0,0
120,5.45,0,0,0,0,0,20.83,0,11.56,0,0,0,1.41,0,0
