stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,0,0,0,0,0,0,0,0
  5-6,8.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.95,0,0,0,0,0,0,0,0,0.85,0,0,0,0.86,0,0.87,0,0,0,9.89,0,0,1.04,1.02,0,0,0,0,0,0,1.04,0,0,0,0,0
 24-34,0,0.67,0,0.63,0,0,4.66,0,0,0.75,0.63,0,0,1.81,0,0,0,1.76,0,0.81,0,1.03,66,0,6.24,0.77,0,0,0.73,0,0,0,0.63,12.19,0,0,0.93,0,0
 36-46,0,0,0,0,0,0,10.67,0,0,2.14,0.66,0,1.56,0,0,3.34,0,6.48,2.43,0,0,0,92.24,0,18.88,0,0,0,0.76,0.74,1.85,0,0,13.61,0,0,0.56,0,0
 48-58,0,0,0,1.65,0,0,30.77,0,0,14.62,1.47,0,1.18,0,0,0.48,2.81,2.6,4.58,1.15,0,0,111.65,0,15.88,0.8,0,0,2.69,0,0,0,0,17.72,0,0,1.64,0,0
 60-70,0,0,0,5,0,0,97.31,0,0,30.16,13.94,0,5.02,0.6,0.66,1.34,17.98,5.61,18.57,0,0,0,213.22,0,18.63,3.45,0,0,3.3,0,0.68,0,0,23.58,0,0,0,0,0
 72-82,0,0,0,2.1,0,0,158.95,0,0.64,44.97,33.74,0,3.11,0.74,7.07,2.36,18.15,1.88,40.44,0,1.15,0.59,289.9,0,23.02,8.07,0,0,3.2,0,5.54,0,0,19.69,1.89,0.87,9.3,0,3.22
 84-94,0,0,0,6.86,7.01,0,242.23,0.78,0.75,35.14,76.38,0,11.48,2.79,12.19,0,35.28,0.71,47.1,0,0,0.75,162.69,0,31.19,9.82,0,0,35.1,0,2.85,0.79,0,9.09,2.18,0,4.59,0,2.12
 96-106,0,1.17,0,21.33,1.27,0,282.15,1.3,0.99,98.9,131.85,0.75,13.36,4.64,0,1.63,37.41,5.13,38.26,0.76,0,0,258.11,0,42.67,14.53,0,2.4,27.12,0,4.55,0,0,9.11,5.12,0,3.47,1.88,0
108-118,0,6.11,0,17.8,1.29,2.48,303.68,0.57,1.31,80.7,165.53,0,19.53,3.97,0.62,3.76,73.45,0,33.13,4.1,0,1.03,216.82,0,32.94,5.84,0,1.84,17.39,0.79,2.52,0,0,19.93,10.34,0,3.72,1.59,0
120,0,0,0,15.09,8.38,0,160.75,2.39,0,71.54,92.99,0,20.11,0,0,7.61,32.23,0,40.95,0,4.29,0,332.13,1.45,21.85,15.91,0,0,26.87,0,5.21,0,0,21.29,3.65,0,1.41,0,0
