stage,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,melanocytes,mesenchyme,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.73,0,0,0,0,0,0,0,0,0
 10-12,0,19.11,0,0,0,0,0,0,0,0,0,0,6.48,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3.58,1.08,0,0,0,0,0.96,1.42,3.47,2.16,0,2.81,19.69,0,0,0
 24-34,0.71,0,0.68,0,0,0,3.92,0,0,0,0,0,6.03,0,7.18,25.88,0,26.68,8.21,0,0,0
 36-46,0,0,0,1.34,0,0,0,0,0,0,0,0,9.99,0,10.87,13.17,0,16.53,19.82,0,0,0
 48-58,0,0,0,1.33,0,0,2.51,0,0,4,0,0,5.74,0,18.02,20.62,0,9.61,19.5,0,0,0
 60-70,0,0,0,0,0,0,1.55,0,0,7.57,0,0,12.1,0,14.66,17.09,0,3.43,12.98,0,0,0
 72-82,0,0,0,0.8,6.51,0,5.7,0,0,12.28,0,3.78,9.06,0,18.81,32.99,2.51,2.58,4.4,0.88,0.74,0
 84-94,0,1.03,0,1.36,0,0.89,0.69,0,0,8.87,4.2,0,3.41,0,27.98,48.03,0,11.63,8.3,0,0,0
 96-106,1.56,1.38,0,1.78,0,0,7.56,0,0,47.93,0,5.95,24.05,0,31.31,44.75,0,7.03,3.44,0,0,0.8
108-118,0,0.51,1.31,0,0,0,5.13,0,0,14.98,0,0,14.86,0,21.26,34.99,2.5,9.66,3.35,0,1.17,4.4
120,3.64,0,0,0,0,0,0,0,1.63,22.31,0,4.71,1.36,0,21.79,43.9,0,13.41,4.99,0,0,0
